Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Shape.FSD1,Shape.FSD2,Shape.FSD3,Shape.FSD4,Shape.FSD5,Shape.FSD6,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Nucleus.Gradient.Mag.Mean,Nucleus.Gradient.Mag.Std,Nucleus.Gradient.Mag.Skewness,Nucleus.Gradient.Mag.Kurtosis,Nucleus.Gradient.Mag.HistEntropy,Nucleus.Gradient.Mag.HistEnergy,Nucleus.Gradient.Canny.Sum,Nucleus.Gradient.Canny.Mean,Nucleus.Haralick.ASM.Mean,Nucleus.Haralick.ASM.Range,Nucleus.Haralick.Contrast.Mean,Nucleus.Haralick.Contrast.Range,Nucleus.Haralick.Correlation.Mean,Nucleus.Haralick.Correlation.Range,Nucleus.Haralick.SumOfSquares.Mean,Nucleus.Haralick.SumOfSquares.Range,Nucleus.Haralick.IDM.Mean,Nucleus.Haralick.IDM.Range,Nucleus.Haralick.SumAverage.Mean,Nucleus.Haralick.SumAverage.Range,Nucleus.Haralick.SumVariance.Mean,Nucleus.Haralick.SumVariance.Range,Nucleus.Haralick.SumEntropy.Mean,Nucleus.Haralick.SumEntropy.Range,Nucleus.Haralick.Entropy.Mean,Nucleus.Haralick.Entropy.Range,Nucleus.Haralick.DifferenceVariance.Mean,Nucleus.Haralick.DifferenceVariance.Range,Nucleus.Haralick.DifferenceEntropy.Mean,Nucleus.Haralick.DifferenceEntropy.Range,Nucleus.Haralick.IMC1.Mean,Nucleus.Haralick.IMC1.Range,Nucleus.Haralick.IMC2.Mean,Nucleus.Haralick.IMC2.Range,Intensity.wholeNucleusIntensity.part05,Intensity.part04,Intensity.part03,Intensity.part02,Intensity.part01,Intensity.distribution.part05,Intensity.distribution.part04,Intensity.distribution.part03,Intensity.distribution.part02,Intensity.distribution.part01
0,131.0,126.0,368.0,372.0,242.845203861559,238.0254955325049,230.71465822748024,246.24665317477616,-0.6771366678768189,38948.0,40390.0,277.4409675799561,187.5413942189442,799.7371567773473,0.7652449577206394,0.7369303864038086,222.68842311252985,0.6680388322870571,1.078164247260352,0.6759686424640815,0.9642980935875216,0.17995992258474072,0.004499641686261655,0.0008551662715312575,3.330977244741188e-05,1.890640085371089e-09,2.408811783231885e-07,5.294449056917878e-09,1.6155795797180763,0.19598181523749264,0.9341092023607726,0.07565622511407447,-0.006286789793950827,-0.03328290882154223,0.019104672280293444,0.257021,0.0013026,0.0075999,0.0401838,0.0460239,0.2781557,0.0,0.9999998807907104,0.07413581758737564,0.006721442565321922,0.06741437315940857,0.13111019134521484,0.0924412477761507,0.006721442565321922,2.5063996072017503,7.143533226205873,0.5957765619694441,0.9085213865522023,0.019511472433805466,0.02630988135933876,1.5366209677274085,1.9108774035901526,1.3371986599943542,0.39828802976851313,1847.0,0.047422203964260036,0.4467321553483535,0.016415497563259496,0.6338362978655749,0.41015983423316826,0.974642511064743,0.016331747366175486,12.4922120881136,0.04218578523393468,0.8619205035417766,0.03668189202260308,3.1764889469988873,0.012910392107855717,49.335012054588816,0.2602945419656706,2.4472152078340588,0.05983772159693501,2.872084365358404,0.2105973920371218,0.018583491642807242,0.0019252237879841295,1.0645317817429643,0.23379596048440487,-0.5583460097659084,0.09908206394500174,0.9511258174187697,0.019936660245797988,0.13042921,0.0811607739608086,0.12430558421739654,0.15736548123807073,0.18746200881982814,0.15667157092417477,0.11480161795920649,0.17582979428476792,0.2225928977190804,0.2651643259192115
1,131.0,122.0,366.0,372.0,246.30633991652482,245.78872385571384,218.56762646562635,258.7573587317712,0.300553829339875,42887.0,43294.0,246.5495685324554,222.6856462654426,788.5067093990477,0.8668116621029708,0.4292022249450461,233.67803567099952,0.7299914893617021,1.0883671937391413,0.9032084200793425,0.9905991592368457,0.16085233694971343,0.00026630145843918644,3.133751973328108e-05,9.941792397755498e-08,1.4553308747968465e-13,1.6062821874200394e-09,-9.804894032822509e-14,3.6695356042838982,0.807247556524227,2.7575358464854878,3.3917744507265577,4.079866378873458,-0.21892585997987501,9.53688421000821,0.4317755,0.0028413,0.0076915,0.0215009,0.0512395,0.2038825,0.0,0.9999998807907104,0.027750112116336823,0.0,0.027750112116336823,0.0800645500421524,0.004260939080268145,0.0,4.365287738943381,23.49879747127512,0.8304388457704573,0.4254064249499891,0.00833663810044527,0.01810751110315323,2.801409676632489,8.710436977267511,0.7439930987792484,0.6783889358193461,770.0,0.017954158602840022,0.6897771033428471,0.01236799358247287,0.2593823250093747,0.18713595384060583,0.9723319103481861,0.019865038523111944,4.684838494518524,0.018174069732573628,0.934562243246741,0.020083974548509076,1.272205334593828,0.005401803101334313,18.479971653064716,0.11443967491031515,1.3709350599269317,0.042077703410721146,1.5599205917430798,0.11916564688113529,0.023944338514262746,0.001346454715560906,0.6264567697893096,0.15927377987669233,-0.5765499709138294,0.09963044525040843,0.8683336932275465,0.03135424673651521,0.09543858,0.08940549125239076,0.08408912939758945,0.10902390211279384,0.07070729503963752,0.13720514126852112,0.1822998519949874,0.17145966795588724,0.2223022427444784,0.14417380006675085
2,147.0,160.0,353.0,339.0,245.095585143658,248.60231254379818,216.19900290768442,260.8951308009639,1.2899214912064112,28540.0,28803.0,207.62214542753034,175.8934984271805,639.4701294725885,0.8770478882571278,0.5313046830895679,190.62595994969192,0.7739870911753539,1.0234615305387076,0.847180815249669,0.9908690067006909,0.16215285139471597,0.0007101030379223185,7.291576964608806e-05,4.670263158466232e-07,8.895709718211577e-13,2.1462875283057323e-09,-2.57608471005723e-12,3.7464127269478325,0.49279257711682756,19.85915590532722,5.553881542141218,34.28004226423511,-3.896432215861422,47.19116967377078,0.4416024,0.0008403,0.0015925,0.0732221,0.0929541,0.1147337,0.0,0.8082390427589417,0.02584764175117016,0.0,0.02584764175117016,0.08412998169660568,0.0,0.0,4.46228564864763,22.269233169179778,0.8260835282510833,0.46410133887066446,0.007542133796960115,0.01881246455013752,2.956546487524299,8.595202220402678,0.7233218280654301,0.7147629533341614,463.0,0.016222845129642605,0.6912132198334373,0.011209439024054135,0.3971611512137298,0.25051336854398304,0.9738181986375309,0.016426592178156896,7.580125143431099,0.033478535606423776,0.9251252496146181,0.0199823101540334,1.6366603931812185,0.007865668149454885,29.923339422510672,0.14379262336066745,1.4269374465117006,0.03948809639111106,1.659861456859796,0.11473723002468339,0.023517229864807324,0.001179663789412578,0.6994607548136825,0.14843020301981624,-0.5588509445875152,0.0901405063950893,0.8738238373026059,0.02923835708657041,0.11153489,0.08623655132150546,0.13841113233847646,0.1046789658416686,0.1107262566811477,0.00446541492077385,0.19399999331278964,0.31137329052007034,0.2354885296556282,0.24909267273001479
3,173.0,155.0,326.0,346.0,251.48402732896315,254.4978303019112,255.44478576798193,224.87946593160774,-0.2631965282046605,21662.0,21940.0,188.84530654909506,147.39472222159898,566.2569260369921,0.8489485315863732,0.6251494307664678,166.0750282795493,0.7412654416042158,1.020511839282522,0.7805050859618798,0.9873290793072015,0.16557726071116474,0.001617048606030125,0.00013094013885828266,2.4133758788101743e-06,3.1604423021674646e-11,5.890646421157793e-08,-2.9012252350157437e-11,9.758986836128312,20.71815412774195,60.566314701453656,58.05693819166062,-2097.3021650417913,-264.21884374628075,2730.0870368755795,0.4293037,0.0023688,0.0017487,0.0357404,0.1184422,0.1381525,0.0,0.9999998807907104,0.009735748171806335,0.0,0.009735748171806335,0.05342325195670128,0.0,0.0,8.979299468554192,99.13993966733155,0.9460544519943095,0.1673607021906195,0.0033762494567781687,0.014325844123959541,6.077506274294957,41.47911975825689,0.32243237883078685,0.8881375352045242,135.0,0.006232111531714523,0.8199809171662478,0.008316854342644842,0.1745263818283144,0.12137099802637234,0.9643510972123499,0.024591119049438892,2.445908070444496,0.015326611256895273,0.9669876036585691,0.009101439803626432,0.6079149431402472,0.003956365982851984,9.609105899949672,0.06964677687560616,0.8149997479134454,0.031179308148893137,0.9098997868798919,0.07184722009304112,0.026977795078079226,0.0007153992873768049,0.3796233882877863,0.08811436512032894,-0.5713897026984478,0.09742618136994796,0.7651317709207064,0.03541750918670106,0.07575281,0.1083591148851714,0.0393717192566796,0.10127859163899297,0.049234599454795774,0.001333019114099443,0.36170700301945796,0.13142435309801426,0.3380719369163545,0.1643470365416823
4,153.0,112.0,348.0,394.0,249.41883004499826,253.58599119814073,250.64130175087723,247.41441152525772,-0.27098913655976664,40446.0,40858.0,290.127227607678,178.57395744100378,790.080302527855,0.8142222620262414,0.7881351387629428,226.93048853417292,0.7355155482815058,1.0075390751139304,0.6155022364273885,0.989916295462333,0.1793478750609746,0.006527781286807418,6.392617838010002e-05,2.5936488905232492e-06,-3.10060596286974e-11,-2.041223168286161e-07,-1.2408752966491884e-11,2.904110174629627,2.4001857438947485,1.202390346807852,0.4102487462248825,0.28753975777087093,0.6339112651262699,-0.018486628625323354,0.4623941,0.0003877,0.0033484,0.0356818,0.1030728,0.1361559,0.0,0.9999998807907104,0.04748718813061714,0.0026547913439571857,0.04483239725232124,0.08995495736598969,0.05899780988693237,0.0026547913439571857,3.3273123304974797,15.8622579989188,0.7071799793280054,0.6362387111016878,0.012984607368707657,0.018945779651403427,2.1285390953682706,5.529708493267433,1.0113512304521242,0.514095906350076,1585.0,0.039188053206744795,0.44918982405770724,0.016912101615207564,0.3657488189930702,0.2153508797294979,0.9705462106061928,0.017262120815159654,6.20600242139159,0.024492403397446516,0.8922295527078457,0.03091538564243468,2.2097515065084634,0.009177549907034344,24.45826086657329,0.1449556079648744,2.2615876793706997,0.06055106771144292,2.5649443625640007,0.17802407957303545,0.02023185575813714,0.00206776218879633,0.8725113803713891,0.1989684841455729,-0.5810022307946393,0.09341369122257492,0.9440970223984029,0.019514757010536732,0.08703403,0.067370104686575,0.0697871836296266,0.09477168931925176,0.1428764337992899,0.06373389219285389,0.15362386935284816,0.1591355279956597,0.21610762943093204,0.32580074948223803
5,109.0,142.0,386.0,356.0,247.1395508599043,245.96408774340267,251.6172539302103,234.01760223968836,-1.2808922069149702,42214.0,42973.0,282.26558788944016,192.78094692159885,805.7787873376899,0.8170238034572691,0.7304397386471475,231.83730101398731,0.7121360369783056,0.984478812505866,0.6829771505731995,0.9823377469573918,0.17298519981901678,0.0039611047927034255,0.00010357282674736519,3.178017393385934e-06,-3.3386881147122405e-11,-1.1608292941009373e-07,-4.700772932545667e-11,12.82173087993518,19.827315357791917,1988.0764380830085,646.137748335302,327422.75428544823,2153.601986342488,-655053.5163989579,0.0026691,0.0062659,0.0091566,0.0085575,0.1853213,0.3023667,0.0,0.8186150193214417,0.005642148666083813,0.0,0.005642148666083813,0.041657786816358566,0.0,0.0,11.026545804790338,142.61258733101593,0.9631935433409254,0.12451799491409297,0.0018483707681298256,0.010299325920641422,7.430161486084389,61.86576296527882,0.20953065579358707,0.9340709309708128,136.0,0.0032216800113706355,0.9193701053890464,0.003433507936242197,0.11419905729365538,0.07957712240410444,0.9719980097908841,0.01944511112509184,2.0386328777170566,0.007129920811420387,0.9814475731418872,0.004216876627096133,0.376287458989455,0.001029875406135694,8.040332453574571,0.07545113379495483,0.4278758634010273,0.01487173841149908,0.48123429953975405,0.03273864497990342,0.02849015915031652,0.0002520379535573235,0.23616649475576337,0.042957628557318606,-0.49513154090094985,0.08776788552986253,0.6163122353962154,0.03239312231085112,0.09282059,0.06563059049229367,0.022112327820871976,0.025182138434070342,0.09952920799188117,0.17566241229079813,0.1691001556401427,0.05697340292122413,0.06488290744623003,0.2564414617623083
6,177.0,160.0,323.0,342.0,258.27124107759613,247.77453373244302,247.26786299280906,263.1915696599116,0.10730902283440726,21715.0,21961.0,187.00751443302246,153.6520339997967,575.2619766708755,0.8245905611618568,0.5700130852135796,166.27807045405615,0.8172136083094987,1.0185528003375384,0.8216356142994876,0.9887983243021721,0.16860683285370648,0.0010695864705818252,0.0005436464742018658,1.2268972090043138e-05,-7.075421065996589e-10,-2.8101920629849874e-07,-7.095077669479918e-10,2.1037233079436506,0.28231576751613485,3.2124553877139235,0.43196073100705457,0.341488648833954,0.21363369726027787,-0.37723742104268687,0.51567,0.0003273,0.0021303,0.0052834,0.1197866,0.1282644,0.0,0.9999998807907104,0.05273253098130226,0.0,0.05273253098130226,0.12574931979179382,0.03494159318506718,0.0,3.529073740247656,14.437135361528153,0.7082394609294234,0.7019510812333458,0.014068068005144596,0.026061035692691803,2.331634339193167,5.177024066338646,1.113991577423348,0.525835485539997,704.0,0.032419986184664976,0.5231862801957037,0.01744039004251563,0.6119240533737526,0.46717761317984985,0.9762069714713059,0.01803767621968022,12.848906626757808,0.07541603426245302,0.8844902652163036,0.03751708647686558,2.7209022902834,0.017929209919704814,50.783702453657476,0.19757689668222866,2.131208034289436,0.06119869800376598,2.488754023881326,0.19521704784876626,0.020189415766490297,0.002387482790267119,0.9588066016594641,0.24922050042880506,-0.5553435880369338,0.10416055188854523,0.935621654216555,0.024094231797742505,0.13449459,0.1024829855688973,0.1627736924773678,0.14629480690335087,0.12477822924895884,0.06092914692814335,0.1715888909133386,0.2725345793452074,0.2449437194240506,0.20891817161752432
7,137.0,101.0,358.0,393.0,243.17249515972895,246.13211923201033,245.60253315031355,210.6081215442909,-0.24305507973145526,49584.0,50063.0,295.32021574399226,214.81407999646785,855.6366517139589,0.8510844658933701,0.686220320628151,251.26143672706385,0.7683629827062542,0.9787417994352089,0.7273937527618708,0.9904320556099315,0.16809746943546183,0.0026798095015657204,5.6579466514659004e-05,1.889230378786641e-06,1.8043275866241665e-11,8.217770905602608e-08,7.480437529835964e-12,4.9989308396911625,7.026357781452158,32.86662850854741,42.74902142330273,1597.3095891868861,103.68982585088983,127.43411119279597,0.4594153,0.0006809,0.0071573,0.0351847,0.1516358,0.0913976,0.0,0.9999998807907104,0.02570231445133686,0.0,0.02570231445133686,0.07935537397861481,0.003220904618501663,0.0,4.914732503131914,30.632801541459145,0.849041553150414,0.3906602977494025,0.007100709248334169,0.016301127150654793,3.059781376664123,10.317667475645163,0.7306581449496988,0.6953430022459337,831.0,0.0167594385285576,0.6815436487512796,0.01066665088599017,0.23602818218986366,0.15002451888303056,0.9761975757805954,0.015073785862945166,4.95629371193976,0.012813890462210153,0.9372449712336827,0.016035171687130978,1.3000325605292975,0.003254897493415232,19.589146665569174,0.09876895703419208,1.3983455380751666,0.03813923617815318,1.5785892137701012,0.10302939388510546,0.024105950787813968,0.0010986847116917949,0.6062231928488103,0.13233588312612266,-0.588007716973556,0.08754172328825471,0.8769284862122189,0.026730853332301963,0.08917665,0.062141870639846344,0.12201733417050309,0.10383573385769589,0.05137264110022391,0.03686054294544453,0.16517072193226884,0.3243174202140936,0.275991420069117,0.1365465205781953
8,147.0,140.0,356.0,363.0,254.52578498343544,246.483831246885,244.55497514721964,235.86898663693538,0.7997610856571645,34109.0,34691.0,234.43437651518823,186.5274585883976,712.967604155647,0.8432168130705258,0.6057580337083702,208.3960835317489,0.7318428562233141,1.0485832482536548,0.7956489204402712,0.9832233144043123,0.16445800540090483,0.0013655385709452402,3.401964552231555e-05,2.0931877174366622e-07,-9.895404935888117e-14,6.429241907964904e-11,-5.49734387847896e-13,2.9251260570666755,1.0134997639195686,1.7017179179647115,0.9165217880728248,1.1160747848343435,0.9134964557709856,-0.25399170255065734,0.3019885,0.0025101,0.0052612,0.0112703,0.0343844,0.3025786,0.0,0.9999998807907104,0.04247669503092766,0.0,0.04247669503092766,0.10578133910894394,0.02518143318593502,0.0,3.7508808436469305,16.536276246010658,0.7579125041185224,0.5883185083982979,0.010916093364357948,0.020478203892707825,2.4304603388694894,6.112791232425733,0.9328724377467121,0.5926890966062266,893.0,0.026180773402914186,0.5826830044304677,0.013089598037376304,0.35618259877169495,0.2554735799956476,0.9784795484746324,0.015357049619342478,8.270606214883761,0.03481599628262444,0.91251786768445,0.02447686865733767,1.988664361806473,0.008635735281947277,32.72624226076334,0.12412932129890919,1.827374510930234,0.046054558800265655,2.0876261530084865,0.1440278068905747,0.022087423445514173,0.001580058497494534,0.773556992113449,0.18407178640818678,-0.579328804508811,0.09074875913766312,0.9190134511367584,0.02287562971889001,0.10975211,0.07673940122889997,0.09781499018543088,0.1841104635738101,0.07449469453358537,0.031127144984642686,0.16528451522930143,0.21067799560663283,0.3965447766483097,0.1604497725544092
9,103.0,134.0,408.0,371.0,252.37755742437554,262.1836862773225,246.61016738653208,273.7873837201025,1.233973288682991,55769.0,58368.0,311.42752222821036,240.40829915780438,976.541197284454,0.734888721252846,0.635676142467046,266.47194255743943,0.7715155288095732,0.9954026829348932,0.771955854889524,0.9554721765350878,0.1734647069890428,0.0019290608675935658,0.0005820722385081,2.4682219778783658e-05,2.84667367091528e-09,7.631041264984972e-07,8.055413462137398e-10,3.5820345996138947,2.8977233320425984,5.907008115557651,3.110391358643279,10.31685021555841,5.268398441792394,-8.444753246216173,0.4350186,0.001136,0.0052101,0.0287088,0.0731922,0.1832846,0.0,0.9999998807907104,0.040825728327035904,0.0,0.040825728327035904,0.09432921558618546,0.028732750564813614,0.0,3.3502687640185145,13.339513104589397,0.7507786260571061,0.5839483968012167,0.011131326667964458,0.019755464047193527,2.2688198212596857,5.8482020142342,0.9136978101357658,0.5849000240986267,1594.0,0.02858218723663684,0.5639321527634434,0.013825614743375292,0.3640611664185631,0.222519810995575,0.974109761214002,0.015743294939256858,7.02792499519113,0.024773418661241386,0.9046107370855572,0.025121456027549338,2.005484620123672,0.007695670092066731,27.74763881434596,0.1573204153031611,1.8927686607393062,0.04907044718118714,2.172713782481027,0.14708988700185444,0.021398242418777715,0.0015577839002392686,0.8157319441032778,0.17674883311235645,-0.580304020603936,0.09088860970485668,0.9219322765880111,0.022769801820877955,0.103907,0.06562279054929251,0.1225127217637784,0.12059289727020468,0.07908085175719416,0.05058575391665168,0.14968872424519775,0.2794573786198822,0.275078167117106,0.18038720561366955
