Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Shape.FSD1,Shape.FSD2,Shape.FSD3,Shape.FSD4,Shape.FSD5,Shape.FSD6,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Nucleus.Gradient.Mag.Mean,Nucleus.Gradient.Mag.Std,Nucleus.Gradient.Mag.Skewness,Nucleus.Gradient.Mag.Kurtosis,Nucleus.Gradient.Mag.HistEntropy,Nucleus.Gradient.Mag.HistEnergy,Nucleus.Gradient.Canny.Sum,Nucleus.Gradient.Canny.Mean,Nucleus.Haralick.ASM.Mean,Nucleus.Haralick.ASM.Range,Nucleus.Haralick.Contrast.Mean,Nucleus.Haralick.Contrast.Range,Nucleus.Haralick.Correlation.Mean,Nucleus.Haralick.Correlation.Range,Nucleus.Haralick.SumOfSquares.Mean,Nucleus.Haralick.SumOfSquares.Range,Nucleus.Haralick.IDM.Mean,Nucleus.Haralick.IDM.Range,Nucleus.Haralick.SumAverage.Mean,Nucleus.Haralick.SumAverage.Range,Nucleus.Haralick.SumVariance.Mean,Nucleus.Haralick.SumVariance.Range,Nucleus.Haralick.SumEntropy.Mean,Nucleus.Haralick.SumEntropy.Range,Nucleus.Haralick.Entropy.Mean,Nucleus.Haralick.Entropy.Range,Nucleus.Haralick.DifferenceVariance.Mean,Nucleus.Haralick.DifferenceVariance.Range,Nucleus.Haralick.DifferenceEntropy.Mean,Nucleus.Haralick.DifferenceEntropy.Range,Nucleus.Haralick.IMC1.Mean,Nucleus.Haralick.IMC1.Range,Nucleus.Haralick.IMC2.Mean,Nucleus.Haralick.IMC2.Range,Intensity.wholeNucleus,Intensity.part05,Intensity.part04,Intensity.part03,Intensity.part02,Intensity.part01,Intensity.distribution.part05,Intensity.distribution.part04,Intensity.distribution.part03,Intensity.distribution.part02,Intensity.distribution.part01
0,131.0,126.0,368.0,372.0,242.845203861559,238.0254955325049,238.65919179744492,235.9736995623518,-0.6771366678768189,38948.0,40390.0,277.4409675799561,187.5413942189442,799.7371567773473,0.7652449577206394,0.7369303864038086,222.68842311252985,0.6680388322870571,1.078164247260352,0.6759686424640815,0.9642980935875216,0.17995992258474072,0.004499641686261655,0.0008551662715312575,3.330977244741188e-05,1.890640085371089e-09,2.408811783231885e-07,5.294449056917878e-09,0.3259724559941726,0.014310994159980786,0.005544152610552747,0.000288212279291391,-1.9862845439641735e-07,-1.725694617347989e-05,3.054141671401636e-07,0.257021,0.0013026,0.0075999,0.0401838,0.0460239,0.2781557,0.10405068844556808,0.9999998807907104,0.5107001662254333,0.5212129950523376,-0.010512828826904297,0.12477308511734009,0.164637953042984,0.08122383058071136,-0.08618985083087288,-0.017620865519875295,0.20131308845244703,1.7606009166027166,0.016602128744125366,0.008541416376829147,0.6892084349035433,0.5721675547333129,1.73329945275281,0.20300945259840847,2221.0,0.0570247509499846,0.03557789551986914,0.005083537024919232,0.37289875796766714,0.17957780074905183,0.9962511566532749,0.0018149259834142617,49.75009579898567,0.162175717547683,0.8274781385053698,0.06300342194217823,23.383065130592428,0.067556887939908,198.62748443797497,0.8132276303083472,5.204530548437816,0.07138996811497567,5.610474577544405,0.29623036299504335,0.016189368604515194,0.002752452712075552,0.9833078913271356,0.22357963721459262,-0.7141412548624149,0.06733235468389998,0.9990540854233495,0.0005619169840324068,0.5107002,0.43824286306599763,0.5469208804947123,0.5595317646522937,0.5352817463364831,0.5947053068723434,0.16384855137090842,0.2044806693636106,0.20919557809314504,0.2001290747758618,0.2223461263964741
1,131.0,122.0,366.0,372.0,246.30633991652482,245.78872385571384,245.05427542991848,248.2413023197619,0.300553829339875,42887.0,43294.0,246.5495685324554,222.6856462654426,788.5067093990477,0.8668116621029708,0.4292022249450461,233.67803567099952,0.7299914893617021,1.0883671937391413,0.9032084200793425,0.9905991592368457,0.16085233694971343,0.00026630145843918644,3.133751973328108e-05,9.941792397755498e-08,1.4553308747968465e-13,1.6062821874200394e-09,-9.804894032822509e-14,0.39724958706326596,0.0025037650946404828,0.0004031838710024619,1.9739934300510597e-05,-1.160882153099408e-09,2.467320724846242e-07,-1.3242460076288798e-09,0.4317755,0.0028413,0.0076915,0.0215009,0.0512395,0.2038825,0.0939989909529686,0.9999998807907104,0.4397332966327667,0.4250178933143616,0.014715403318405151,0.13317321240901947,0.1792299747467041,0.08816105127334595,0.4591773111524511,0.0059719028913862715,0.19077572932519984,1.8056326427859355,0.021900538355112076,0.012607203796505928,0.9339104694921031,1.0296515076625763,1.7065809716320899,0.21138935615599524,3588.0,0.08366171567141559,0.021624615382227732,0.006512010444977838,0.6182778126584898,0.39785329967544175,0.9897943338929027,0.006629476401839862,30.3139047550574,0.20099198590710898,0.7570875920226098,0.09010147769457588,24.409795487074422,0.0526345474215546,120.63734120757101,1.2018212433033568,5.333636998534653,0.03716590856105739,6.007958961086391,0.4242857697189617,0.013659949399484308,0.0029485859107641673,1.2154003964466051,0.32598456686599997,-0.6283347573205494,0.09695502953707757,0.9979619459880841,0.0017022972577667161,0.43973324,0.5179711350653935,0.4306661756968758,0.38150929362504526,0.3473170075339626,0.36614852447782564,0.25345863133210395,0.21073772660976692,0.18668380698564185,0.1699525077913973,0.17916732728109003
2,147.0,160.0,353.0,339.0,245.095585143658,248.60231254379818,244.94974985046787,259.04390054844725,1.2899214912064112,28540.0,28803.0,207.62214542753034,175.8934984271805,639.4701294725885,0.8770478882571278,0.5313046830895679,190.62595994969192,0.7739870911753539,1.0234615305387076,0.847180815249669,0.9908690067006909,0.16215285139471597,0.0007101030379223185,7.291576964608806e-05,4.670263158466232e-07,8.895709718211577e-13,2.1462875283057323e-09,-2.57608471005723e-12,0.4593433577188776,0.008370050721949036,0.0018411496815817923,0.0008651659307002002,-6.093318748528557e-07,-7.795993560209595e-05,9.061012935086456e-07,0.4416024,0.0008403,0.0015925,0.0732221,0.0929541,0.1147337,0.02198745124042034,0.9999998807907104,0.38047996163368225,0.3566664755344391,0.023813486099243164,0.16626188158988953,0.2107829749584198,0.10350704193115234,0.6863799254544961,0.14406738828292198,0.17583541755777185,1.9061635699215866,0.021819444373250008,0.012229534797370434,0.9467940521611092,1.3733792207401594,1.7944074019605898,0.19185746507563367,2370.0,0.08304134548002803,0.020392886282216506,0.0052597067704716755,0.595636131555455,0.3387933684077308,0.9907490370107568,0.0052849131699710394,32.201472252337645,0.08801924108675507,0.758547522023148,0.07996975961841313,21.48408272236123,0.045020279269351704,128.21025287779509,0.6908703327551393,5.42397472002666,0.041118545851715815,6.068454600928655,0.3657219222954762,0.013821148253807822,0.0023850794843370063,1.1905553010654377,0.29176006693443424,-0.6403685860837205,0.0818024248150282,0.9983527016159308,0.0011972845646559538,0.38048002,0.479079629554556,0.33016170486779856,0.35506838959547016,0.2935157780848864,0.2308808346498387,0.28369623487991724,0.19551161601176484,0.21026058934455172,0.17381102427159065,0.1367205354921755
3,173.0,155.0,326.0,346.0,251.48402732896315,254.4978303019112,245.68537699051961,248.98216204195688,-0.2631965282046605,21662.0,21940.0,188.84530654909506,147.39472222159898,566.2569260369921,0.8489485315863732,0.6251494307664678,166.0750282795493,0.7412654416042158,1.020511839282522,0.7805050859618798,0.9873290793072015,0.16557726071116474,0.001617048606030125,0.00013094013885828266,2.4133758788101743e-06,3.1604423021674646e-11,5.890646421157793e-08,-2.9012252350157437e-11,0.4716866292621421,0.014519112759747106,0.002591118854094149,0.0001712360758002643,6.201176868723753e-08,-6.585034540994771e-06,9.573095557473865e-08,0.4293037,0.0023688,0.0017487,0.0357404,0.1184422,0.1381525,0.03556177392601967,0.9999998807907104,0.3750380873680115,0.34806281328201294,0.026975274085998535,0.1651521623134613,0.21387046575546265,0.10374656319618225,0.78195696422516,0.39437109334014187,0.1754821034399452,1.9028071642224536,0.030037077143788338,0.016858825460076332,0.7760776603860075,0.5340728936188235,1.8321694410004292,0.18338393676252215,2379.0,0.10982365432554704,0.019063836649930554,0.004485071108964678,0.9672096807216726,0.7084630456974157,0.9864119407899139,0.010011430047047853,35.61023667752814,0.17945586536789904,0.7053654733006798,0.09570979976059779,19.247707167310843,0.07475965159981257,141.47373702939072,1.4262865071692659,5.398857280774648,0.02326751806376759,6.315165427817659,0.44736088127697116,0.01184037896757176,0.002835216259712196,1.4506434670075834,0.38797328284558263,-0.5864600200864203,0.0995164228701525,0.9973113770955992,0.002370925817448466,0.37503806,0.44262737450117223,0.3761857997594782,0.3048842322322533,0.3210054635456912,0.2676689154527831,0.2584878927879304,0.21968698792331995,0.17804791857439095,0.1874624811419538,0.15631471957240495
4,153.0,112.0,348.0,394.0,249.41883004499826,253.58599119814073,248.27708902606048,252.79320934023067,-0.27098913655976664,40446.0,40858.0,290.127227607678,178.57395744100378,790.080302527855,0.8142222620262414,0.7881351387629428,226.93048853417292,0.7355155482815058,1.0075390751139304,0.6155022364273885,0.989916295462333,0.1793478750609746,0.006527781286807418,6.392617838010002e-05,2.5936488905232492e-06,-3.10060596286974e-11,-2.041223168286161e-07,-1.2408752966491884e-11,0.37451537552206116,0.03478600473694345,0.0007575617094997462,7.137593591502286e-05,1.4359336267178773e-08,5.293815450522691e-06,-8.32339627377349e-09,0.4623941,0.0003877,0.0033484,0.0356818,0.1030728,0.1361559,0.03355050086975098,0.9999998807907104,0.44831785559654236,0.46090078353881836,-0.012582927942276001,0.16069751977920532,0.2173614501953125,0.1071908175945282,-0.03009903147910554,0.028731207021775784,0.17006576176203983,1.9145135513201803,0.020300012081861496,0.011723299510776997,0.9316364641146683,0.9931465851077732,1.7297059192523658,0.206899586937399,2883.0,0.07128022548583296,0.020617105523502405,0.0061181981949228435,0.4913501225394397,0.329276473273434,0.9942077625378237,0.003900715221800799,42.429770029293465,0.1542485963845479,0.7931090446820881,0.09141136814791384,22.0788099164578,0.08318664618056104,169.22772999463444,0.9455029706793425,5.467400213084906,0.08182694414270131,6.01411919650281,0.4488481438786973,0.014807509940559217,0.0033210219574972277,1.1108504852669587,0.3207035496454418,-0.6767399589273503,0.09814007544004044,0.9989608367540361,0.0009321649684630451,0.44831786,0.36411279599676233,0.47952960070136075,0.518389885760853,0.5193015329869719,0.4278556879135528,0.1576799112706153,0.20766143272508472,0.22448997148422803,0.22488476248115255,0.1852839220389194
5,109.0,142.0,386.0,356.0,247.1395508599043,245.96408774340267,242.86951521229682,253.60974257004125,-1.2808922069149702,42214.0,42973.0,282.26558788944016,192.78094692159885,805.7787873376899,0.8170238034572691,0.7304397386471475,231.83730101398731,0.7121360369783056,0.984478812505866,0.6829771505731995,0.9823377469573918,0.17298519981901678,0.0039611047927034255,0.00010357282674736519,3.178017393385934e-06,-3.3386881147122405e-11,-1.1608292941009373e-07,-4.700772932545667e-11,0.5737432471817906,0.03899096780101607,0.0005361759638381884,0.00019203129887229096,1.5332694900925267e-08,3.694186474162362e-05,-5.968046675482291e-08,0.0026691,0.0062659,0.0091566,0.0085575,0.1853213,0.3023667,0.017086494714021683,0.9999998807907104,0.2556983530521393,0.198829784989357,0.05686856806278229,0.17311997711658478,0.19945505633950233,0.08546218276023865,1.2964604593872138,1.0650144048269272,0.2113788107673628,1.7761544875006365,0.014274176210165024,0.010371864773333073,1.4136223588992802,2.4223248149981247,1.5715496692268591,0.24907318249209562,1488.0,0.03524896953617283,0.043849836240112315,0.008504097487035019,0.3484452378245401,0.17334514471426332,0.9938859372134223,0.003041640512490673,28.495047459710534,0.011377010165134038,0.845058450635586,0.05606976868804636,13.370891415958617,0.034289359478437476,113.63174460101754,0.17847959737918018,4.911025217245924,0.11008345538387942,5.2869327674873965,0.29678641584965604,0.016955542987869877,0.002971584368118769,0.9609735744805723,0.23875754874731847,-0.7066703020261564,0.07174125854551949,0.9985418392560519,0.0008216042843440796,0.25569835,0.24572539945240932,0.1549082434336041,0.2086800922716698,0.468252771062379,0.648448724889727,0.14236571904085304,0.08974905936027085,0.12090281042160511,0.27129121610433465,0.37569119507293625
6,177.0,160.0,323.0,342.0,258.27124107759613,247.77453373244302,250.23207408323657,252.0638767559716,0.10730902283440726,21715.0,21961.0,187.00751443302246,153.6520339997967,575.2619766708755,0.8245905611618568,0.5700130852135796,166.27807045405615,0.8172136083094987,1.0185528003375384,0.8216356142994876,0.9887983243021721,0.16860683285370648,0.0010695864705818252,0.0005436464742018658,1.2268972090043138e-05,-7.075421065996589e-10,-2.8101920629849874e-07,-7.095077669479918e-10,0.5625988648287344,0.007954447853650393,0.01715155968675181,0.002515233764248386,-1.6390998790211427e-05,-0.0002000328038633635,2.0633091432334207e-06,0.51567,0.0003273,0.0021303,0.0052834,0.1197866,0.1282644,0.02587229013442993,0.9999998807907104,0.29886260628700256,0.2641763985157013,0.03468620777130127,0.16150864958763123,0.22761860489845276,0.10559754073619843,0.8451223432764918,0.39922902495567936,0.18354608761938046,1.8429970541751035,0.024636169895529747,0.016066014766693115,1.3209359376607164,2.162702240195058,1.8180379500315917,0.19425178996809875,1873.0,0.08625374165323509,0.023773961199509808,0.007571993926580773,0.78119593081703,0.5468195256425614,0.984671953316768,0.010741571289373253,25.485525482894907,0.024711703485849057,0.7348500773268433,0.09500341867140705,17.12911023158643,0.04913446834623869,101.1609060007627,0.6289578021715556,5.201572657206047,0.04149411525472946,5.9834155612677975,0.42610406590590344,0.01287030832180427,0.0027501140594738023,1.334096826089602,0.35399421265937336,-0.5862651458054423,0.10018101466589469,0.9965083686506202,0.003071079756556072,0.2988626,0.3468795756806565,0.23088544957839416,0.28522344719209425,0.32099059060273044,0.341680734900721,0.22736364695832384,0.1513348191306705,0.1869508835288734,0.2103946050312608,0.2239560453508715
7,137.0,101.0,358.0,393.0,243.17249515972895,246.13211923201033,240.91049801115332,249.39536022183773,-0.24305507973145526,49584.0,50063.0,295.32021574399226,214.81407999646785,855.6366517139589,0.8510844658933701,0.686220320628151,251.26143672706385,0.7683629827062542,0.9787417994352089,0.7273937527618708,0.9904320556099315,0.16809746943546183,0.0026798095015657204,5.6579466514659004e-05,1.889230378786641e-06,1.8043275866241665e-11,8.217770905602608e-08,7.480437529835964e-12,0.44980437225488684,0.017257164547905657,0.001406641569612216,3.4682594694860025e-05,3.72773614836578e-09,-3.5352192602777265e-06,-6.692367145644051e-09,0.4594153,0.0006809,0.0071573,0.0351847,0.1516358,0.0913976,0.04874568060040474,0.9999998807907104,0.4050164520740509,0.39340740442276,0.011609047651290894,0.1535860151052475,0.2094663307070732,0.10441653430461884,0.500493620891612,0.14172811009321107,0.17516902780211707,1.885452362193818,0.022442296147346497,0.013113933615386486,0.9845830177171532,1.3143451257693872,1.607045590064197,0.23195385819765532,4255.0,0.08581397224911262,0.02044179887391772,0.005285557929768862,0.6117775433398258,0.3254227497578262,0.9906258616724612,0.005020324213639404,32.647796050397105,0.1445390330317764,0.7604776877541467,0.07918084563756922,21.99572404788897,0.04284339971284723,129.9794066582486,0.8794310980676414,5.399104867657609,0.04422989871174554,6.057500989833871,0.36231488181128313,0.013740237851642191,0.002383426116232261,1.2137562716536285,0.26906539000058816,-0.6414266677051121,0.0811743974173782,0.9983789870431762,0.0011511516059309335,0.40501645,0.464029047133731,0.4184255236735592,0.3707276675251728,0.3058743563972899,0.2467715723325398,0.25696190567711097,0.2317083825058785,0.2052950963370284,0.16938176177353792,0.13665285370644423
8,147.0,140.0,356.0,363.0,254.52578498343544,246.483831246885,252.72214374261821,245.87903604617964,0.7997610856571645,34109.0,34691.0,234.43437651518823,186.5274585883976,712.967604155647,0.8432168130705258,0.6057580337083702,208.3960835317489,0.7318428562233141,1.0485832482536548,0.7956489204402712,0.9832233144043123,0.16445800540090483,0.0013655385709452402,3.401964552231555e-05,2.0931877174366622e-07,-9.895404935888117e-14,6.429241907964904e-11,-5.49734387847896e-13,0.4651115976272405,0.010331070198835139,0.0008116082625311111,6.121173909492288e-05,-1.2841153821902858e-08,-2.972453959140865e-06,-4.6097117836844724e-09,0.3019885,0.0025101,0.0052612,0.0112703,0.0343844,0.3025786,0.022231657058000565,0.9999998807907104,0.3729538023471832,0.3612653911113739,0.011688411235809326,0.13793756067752838,0.1803734302520752,0.08973976969718933,0.577642711021904,0.4705744895729209,0.20285756279744097,1.7579829962870768,0.023284243419766426,0.014751764014363289,1.336851282573864,2.9730704234986645,1.493090877814835,0.263749661676405,3028.0,0.08877422381189716,0.02228410849764545,0.005354625764469358,0.659672983033409,0.4049853409512366,0.9879203306952012,0.007458354175945647,27.3171416519087,0.10169746297685833,0.7590095250537443,0.0707452950793307,19.927401492035223,0.048325665366018455,108.60889362460149,0.8117751928584198,5.278719098427823,0.047213395357930565,5.975862298929828,0.3688308888720915,0.013505738760814073,0.002521560282595264,1.2569491292689334,0.3068846207779876,-0.6234031294939596,0.08463875400902532,0.9978016636005493,0.0015893312711937613,0.37295377,0.43274201502053,0.3527746551718106,0.3167026789650516,0.34004656350500345,0.35491722320192093,0.24078904725110947,0.1962931034305256,0.17622170642767593,0.1892108582142161,0.19748528467647297
9,103.0,134.0,408.0,371.0,252.37755742437554,262.1836862773225,250.3147805014224,265.3915679092239,1.233973288682991,55769.0,58368.0,311.42752222821036,240.40829915780438,976.541197284454,0.734888721252846,0.635676142467046,266.47194255743943,0.7715155288095732,0.9954026829348932,0.771955854889524,0.9554721765350878,0.1734647069890428,0.0019290608675935658,0.0005820722385081,2.4682219778783658e-05,2.84667367091528e-09,7.631041264984972e-07,8.055413462137398e-10,0.43038470776371807,0.012626545915543547,0.01089158541173733,0.00032447097634373686,5.721210231865474e-07,3.55317113199638e-05,-2.115240094819202e-07,0.4350186,0.001136,0.0052101,0.0287088,0.0731922,0.1832846,0.002050973242148757,0.9999998807907104,0.3934894800186157,0.39544475078582764,-0.001955270767211914,0.16067039966583252,0.21104282140731812,0.10540613532066345,0.10462998099941806,-0.08945741961980991,0.17323159406587416,1.8982421522789168,0.024740906432271004,0.013896395452320576,0.7699192502044878,0.5441363668728996,1.8080825094041388,0.1877840361091406,5219.0,0.09358245620326705,0.020196960171031668,0.005759566186217001,0.6638441879253373,0.45142760523544906,0.9909353398633467,0.006194315619121649,36.63274564074018,0.1434213162210085,0.7513381761826032,0.10036444339558237,20.13562509368876,0.05640707782962551,145.86713837503555,1.025112870119358,5.397830104660892,0.047093117619184,6.115876065903663,0.46444835901905357,0.013385704614380576,0.0031950239667077,1.2556296643237697,0.35191450195063534,-0.6333723467938083,0.10305765095646535,0.9982609621018896,0.0015154558167013166,0.39348954,0.3643774787007632,0.4234275587502732,0.4134594470666092,0.3920555447754168,0.3507474867949325,0.18743046508692873,0.21780496574641983,0.21267751435845433,0.20166765893210423,0.18041939587609288
