Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Shape.FSD1,Shape.FSD2,Shape.FSD3,Shape.FSD4,Shape.FSD5,Shape.FSD6,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Nucleus.Gradient.Mag.Mean,Nucleus.Gradient.Mag.Std,Nucleus.Gradient.Mag.Skewness,Nucleus.Gradient.Mag.Kurtosis,Nucleus.Gradient.Mag.HistEntropy,Nucleus.Gradient.Mag.HistEnergy,Nucleus.Gradient.Canny.Sum,Nucleus.Gradient.Canny.Mean,Nucleus.Haralick.ASM.Mean,Nucleus.Haralick.ASM.Range,Nucleus.Haralick.Contrast.Mean,Nucleus.Haralick.Contrast.Range,Nucleus.Haralick.Correlation.Mean,Nucleus.Haralick.Correlation.Range,Nucleus.Haralick.SumOfSquares.Mean,Nucleus.Haralick.SumOfSquares.Range,Nucleus.Haralick.IDM.Mean,Nucleus.Haralick.IDM.Range,Nucleus.Haralick.SumAverage.Mean,Nucleus.Haralick.SumAverage.Range,Nucleus.Haralick.SumVariance.Mean,Nucleus.Haralick.SumVariance.Range,Nucleus.Haralick.SumEntropy.Mean,Nucleus.Haralick.SumEntropy.Range,Nucleus.Haralick.Entropy.Mean,Nucleus.Haralick.Entropy.Range,Nucleus.Haralick.DifferenceVariance.Mean,Nucleus.Haralick.DifferenceVariance.Range,Nucleus.Haralick.DifferenceEntropy.Mean,Nucleus.Haralick.DifferenceEntropy.Range,Nucleus.Haralick.IMC1.Mean,Nucleus.Haralick.IMC1.Range,Nucleus.Haralick.IMC2.Mean,Nucleus.Haralick.IMC2.Range,Intensity.distribution.part05,Intensity.distribution.part04,Intensity.distribution.part03,Intensity.distribution.part02,Intensity.distribution.part01
0,131.0,126.0,368.0,372.0,242.845203861559,238.0254955325049,248.72508620616304,241.74414147499894,-0.6771366678768189,38948.0,40390.0,277.4409675799561,187.5413942189442,799.7371567773473,0.7652449577206394,0.7369303864038086,222.68842311252985,0.6680388322870571,1.078164247260352,0.6759686424640815,0.9642980935875216,0.17995992258474072,0.004499641686261655,0.0008551662715312575,3.330977244741188e-05,1.890640085371089e-09,2.408811783231885e-07,5.294449056917878e-09,0.46666602947042846,0.029669201267392604,0.013326411142355492,0.00016551098787974576,-1.267522819919455e-07,1.8579030596778664e-05,-2.106078459287714e-07,0.257021,0.0013026,0.0075999,0.0401838,0.0460239,0.2781557,0.06339443475008011,0.9999998807907104,0.4271934926509857,0.41194888949394226,0.015244603157043457,0.16647109389305115,0.22590456157922745,0.11196711659431458,0.4432277830770176,-0.09824559109030284,0.15810982901875237,1.9768696143624171,0.020135778933763504,0.012177272699773312,1.1444009017280519,1.7559933047212555,1.6714253401573982,0.2224945906866877,2729.0,0.07006778268460512,0.035721018197410144,0.005487045605873486,0.5122574048483198,0.30504834433516126,0.9937584803487807,0.003729806114526002,41.045622261912,0.09439242960290528,0.7924946794663791,0.08103774493228388,21.331087635891908,0.03528087163649829,163.67023164279962,0.6809356462358664,5.232638586999628,0.059631670890956556,5.79030641601164,0.37343203911655554,0.01467343133547362,0.003015372340680963,1.1370911023423327,0.2882761432633223,-0.67435640309617,0.0840407504420333,0.9986545038745486,0.0009927088040477816,0.5060042552920115,0.4410956311786583,0.3572491089294195,0.3093487574327438,0.32043206369838656
1,131.0,122.0,366.0,372.0,246.30633991652482,245.78872385571384,253.4837320127381,248.63591624705424,0.300553829339875,42887.0,43294.0,246.5495685324554,222.6856462654426,788.5067093990477,0.8668116621029708,0.4292022249450461,233.67803567099952,0.7299914893617021,1.0883671937391413,0.9032084200793425,0.9905991592368457,0.16085233694971343,0.00026630145843918644,3.133751973328108e-05,9.941792397755498e-08,1.4553308747968465e-13,1.6062821874200394e-09,-9.804894032822509e-14,0.647076234756556,0.0034802125732586297,0.001307426077250644,0.001274050012410234,-2.7158599306875576e-08,-6.665024932346128e-05,-1.6441030730392088e-06,0.4317755,0.0028413,0.0076915,0.0215009,0.0512395,0.2038825,0.030662083998322487,0.9999998807907104,0.23021326959133148,0.1972889006137848,0.03292436897754669,0.1285914033651352,0.13086041808128357,0.06201407313346863,1.8495497368403566,4.791273092322659,0.2763146405708067,1.5314338256609423,0.012902759946882725,0.008394305594265461,1.1032265427341674,1.168349712310616,1.7917932158132566,0.19589219687494255,1296.0,0.03021894746659827,0.05478755168664575,0.01082631571525123,0.2908729717983457,0.15381759826902275,0.9912102018506794,0.004655357083426348,16.5473115047494,0.014442512456064094,0.8614332031197245,0.06074926072845299,12.195365795024015,0.03081824738550054,65.89837304719924,0.21158764809328545,4.589815471603535,0.12276461702358166,4.892763276473037,0.2965535663538601,0.01786793384992715,0.0034726510115115766,0.876991822076709,0.23843223761977717,-0.7021363114829611,0.07775147340388788,0.9977552957917801,0.0013088183250522523,0.23517060242424506,0.172373074267477,0.2093006191834614,0.2905128452692233,0.5148112180980409
2,147.0,160.0,353.0,339.0,245.095585143658,248.60231254379818,247.335973387521,250.5056306480585,1.2899214912064112,28540.0,28803.0,207.62214542753034,175.8934984271805,639.4701294725885,0.8770478882571278,0.5313046830895679,190.62595994969192,0.7739870911753539,1.0234615305387076,0.847180815249669,0.9908690067006909,0.16215285139471597,0.0007101030379223185,7.291576964608806e-05,4.670263158466232e-07,8.895709718211577e-13,2.1462875283057323e-09,-2.57608471005723e-12,0.5479463331412295,0.01045880535277158,0.0013038465946141472,0.00030616920251329597,1.8356732096201435e-07,-1.0706874216719291e-05,6.10218077288452e-08,0.4416024,0.0008403,0.0015925,0.0732221,0.0929541,0.1147337,0.07744024693965912,0.9999998807907104,0.3219323754310608,0.3032541275024414,0.018678247928619385,0.12227216362953186,0.14785951003432274,0.07307408004999161,1.0286799969698022,1.6676016006565249,0.23006475869076168,1.6525194316622185,0.0186039749532938,0.012470015324652195,1.4801279774074805,3.461363889116175,1.451102071425229,0.27797916495811825,1869.0,0.06548703573931325,0.031036861444835955,0.00841015756741435,0.539529032343856,0.2966674802480519,0.9858896113139758,0.007817200077042008,19.130051236029566,0.12722964212743193,0.7831530853788374,0.08186389388804449,18.388729108906976,0.03387346097521515,75.9806759117743,0.7521930467172524,5.017358682902418,0.07056045053069493,5.58726671788001,0.36417306551269046,0.014416513803057748,0.0027824700442703847,1.1583414399814407,0.2684824128773906,-0.6291182655153843,0.0892970645838147,0.9971571419570125,0.0020094266461523347,0.38663570635025796,0.29782111493980623,0.2779203792538957,0.2629801056096513,0.3027957865861074
3,173.0,155.0,326.0,346.0,251.48402732896315,254.4978303019112,253.260783026054,254.42148474718928,-0.2631965282046605,21662.0,21940.0,188.84530654909506,147.39472222159898,566.2569260369921,0.8489485315863732,0.6251494307664678,166.0750282795493,0.7412654416042158,1.020511839282522,0.7805050859618798,0.9873290793072015,0.16557726071116474,0.001617048606030125,0.00013094013885828266,2.4133758788101743e-06,3.1604423021674646e-11,5.890646421157793e-08,-2.9012252350157437e-11,0.44309301379527166,0.005374278899264798,0.004340957474544819,0.00014104376440407762,-9.402707843585625e-08,-1.0183808258335383e-05,5.7783268627384157e-08,0.4293037,0.0023688,0.0017487,0.0357404,0.1184422,0.1381525,0.026542318984866142,0.9999998807907104,0.41180944442749023,0.37997233867645264,0.0318371057510376,0.1784607470035553,0.2348778322339058,0.11280396580696106,0.6566248834857012,0.027610607830385714,0.16068627444378175,1.9820906525929196,0.025448905304074287,0.014929777942597866,0.9289867936260002,0.674908192078739,1.77105050287664,0.19966089412870508,2053.0,0.09477425907118456,0.019529212456383966,0.005605790284411303,0.7620950310091248,0.5191098809823788,0.9874258650859468,0.008599680337939786,30.314982326973343,0.09160776898863787,0.7234087829082615,0.10285488106825447,23.81337505849556,0.04731290421929657,120.49783427688419,0.8855409569371204,5.394528732265115,0.021630279639649252,6.193440352904931,0.4519898171394079,0.0127893240328011,0.0027066221350365988,1.3124407001104024,0.34871876683995007,-0.5929270001154643,0.10262092160476999,0.9972803094928395,0.002436332725617718,0.5240709811370905,0.407971867866705,0.28300086473218317,0.33488831373821,0.29662882458086226
4,153.0,112.0,348.0,394.0,249.41883004499826,253.58599119814073,253.10215903498465,260.220101451312,-0.27098913655976664,40446.0,40858.0,290.127227607678,178.57395744100378,790.080302527855,0.8142222620262414,0.7881351387629428,226.93048853417292,0.7355155482815058,1.0075390751139304,0.6155022364273885,0.989916295462333,0.1793478750609746,0.006527781286807418,6.392617838010002e-05,2.5936488905232492e-06,-3.10060596286974e-11,-2.041223168286161e-07,-1.2408752966491884e-11,0.5732975530444185,0.06774972043624286,0.004512056513592277,0.00046066390727335913,-5.04820065083672e-07,-0.00011185782816736033,-4.315629493643694e-07,0.4623941,0.0003877,0.0033484,0.0356818,0.1030728,0.1361559,0.043878089636564255,0.9999998807907104,0.3208862543106079,0.2876438498497009,0.03324240446090698,0.15815883874893188,0.21929342672228813,0.10381068289279938,0.819737674209931,0.22905469535667233,0.18272234642579135,1.8499395536808063,0.02229645662009716,0.014178598299622536,1.0446853619048677,1.2770294432752616,1.68188968020546,0.21657675059857548,2984.0,0.07377738218859714,0.027530743492710404,0.007542162577807415,0.5776434800361573,0.4500506585612966,0.990107994168149,0.0077200799883485605,29.201493531321045,0.041475215591887604,0.7797128807969345,0.09651205868221635,16.407422670469085,0.047607728306818586,116.2283306452481,0.6159515209287747,5.192700611784332,0.07455514672501362,5.792605474035943,0.4500979334503743,0.014195688301013185,0.0034630259930216213,1.1918162204703018,0.3668100577700242,-0.652210506767058,0.10360430261786224,0.998193287393133,0.0017205886984419383,0.3593107415502272,0.2872818432766087,0.2914290948175884,0.3008888858323485,0.41597298887755135
5,109.0,142.0,386.0,356.0,247.1395508599043,245.96408774340267,251.22290193146463,246.788026587049,-1.2808922069149702,42214.0,42973.0,282.26558788944016,192.78094692159885,805.7787873376899,0.8170238034572691,0.7304397386471475,231.83730101398731,0.7121360369783056,0.984478812505866,0.6829771505731995,0.9823377469573918,0.17298519981901678,0.0039611047927034255,0.00010357282674736519,3.178017393385934e-06,-3.3386881147122405e-11,-1.1608292941009373e-07,-4.700772932545667e-11,0.6803897122032188,0.055182457341671744,0.003875231031064276,0.003052550011141008,3.2689053357036804e-06,0.0006338403304973487,-9.977010774957503e-06,0.0026691,0.0062659,0.0091566,0.0085575,0.1853213,0.3023667,0.023273641243577003,0.9999998807907104,0.26863640546798706,0.23950503766536713,0.029131367802619934,0.13635164499282837,0.17606571316719055,0.08485017716884613,1.1424784819300573,1.7602111181389049,0.22378377015092354,1.6781586804018414,0.015863586217164993,0.010362166911363602,1.387281630828066,3.015062024947163,1.653773691032611,0.22453957459900784,2059.0,0.0487752878192069,0.03550266221032804,0.006936856153571397,0.3934527926374177,0.1974863106916538,0.9907084850606702,0.004680792196258277,21.177122726405127,0.04160041621940991,0.82582677434783,0.06263678367693803,14.31560298605037,0.035701311204517694,84.3150381129831,0.36388797556946884,4.945763701393641,0.08673490470231915,5.365610614235931,0.299845071880414,0.016070718254733135,0.002843207137317406,1.0137254493322878,0.24307429925755963,-0.6836323497055864,0.07297571097790856,0.9982366120868913,0.0010443969418820753,0.3172805335284799,0.21072845004351473,0.28885535695745357,0.2651349574405555,0.14548820658338127
6,177.0,160.0,323.0,342.0,258.27124107759613,247.77453373244302,269.70192427621794,250.65973243838303,0.10730902283440726,21715.0,21961.0,187.00751443302246,153.6520339997967,575.2619766708755,0.8245905611618568,0.5700130852135796,166.27807045405615,0.8172136083094987,1.0185528003375384,0.8216356142994876,0.9887983243021721,0.16860683285370648,0.0010695864705818252,0.0005436464742018658,1.2268972090043138e-05,-7.075421065996589e-10,-2.8101920629849874e-07,-7.095077669479918e-10,1.0514674059765852,0.010159926769931098,0.09220623571669273,0.016336651896434292,0.000604524579542955,-0.0016461040709030885,0.0001912372812267028,0.51567,0.0003273,0.0021303,0.0052834,0.1197866,0.1282644,0.009066869504749775,0.9999998807907104,0.17916609346866608,0.1328003853559494,0.046365708112716675,0.14244219660758972,0.13146136328577995,0.057439014315605164,1.9552822483012922,4.107313560210993,0.2900600705696517,1.4812582656670599,0.014692611061036587,0.012683369219303131,1.945932274586383,4.594489655642698,1.5769716570130103,0.2620518725589688,750.0,0.0345383375546857,0.05836538903660786,0.010961933127450224,0.42587153049229765,0.250995114288377,0.9890113773422661,0.006593688196897318,19.397707831047324,0.31922400886943336,0.826769610960693,0.06579285033296767,11.184627782466833,0.06878256888568757,77.16495979369697,1.3430151678992814,4.576659431017945,0.1102067885598661,5.027170703787787,0.3157004337465743,0.016078370337277693,0.003161126701368618,1.050456415034874,0.2948441566984855,-0.6479127176216356,0.08792733288969368,0.996234195667564,0.0024409819584688686,0.2816394491887307,0.13323860734696247,0.10316604018254431,0.10520182958308079,0.17484425306147525
7,137.0,101.0,358.0,393.0,243.17249515972895,246.13211923201033,249.1894840148309,249.30490707058877,-0.24305507973145526,49584.0,50063.0,295.32021574399226,214.81407999646785,855.6366517139589,0.8510844658933701,0.686220320628151,251.26143672706385,0.7683629827062542,0.9787417994352089,0.7273937527618708,0.9904320556099315,0.16809746943546183,0.0026798095015657204,5.6579466514659004e-05,1.889230378786641e-06,1.8043275866241665e-11,8.217770905602608e-08,7.480437529835964e-12,0.5637970851062607,0.03024650352673061,0.001292950146790522,0.0005675428346343136,-2.928129846059071e-07,-6.814730625823447e-05,3.8810125988059065e-07,0.4594153,0.0006809,0.0071573,0.0351847,0.1516358,0.0913976,0.03900699317455292,0.9999998807907104,0.3134844899177551,0.2847071886062622,0.02877730131149292,0.139804869890213,0.18216172233223915,0.08692045509815216,0.9249541996630265,0.6292866366364733,0.21258257944562783,1.7258894476403928,0.018180817365646362,0.011579575948417187,1.1404242640819857,1.884719736182178,1.5672696450367505,0.24062824025352045,3193.0,0.06439577282994514,0.03143399690305461,0.007407751684845993,0.4635134790529228,0.26651314272184534,0.9900432274903371,0.005740816439287255,23.28058982805055,0.03778835884239129,0.8034791435115755,0.07374510482239072,16.990757132524188,0.04002337271877465,92.65884583314924,0.4176665780911435,5.073175282409467,0.07412651238546797,5.575837179120956,0.3524824854587383,0.015145711241489012,0.0028159212136337868,1.087244429011112,0.2719480451856263,-0.6630345986435542,0.08392912716947643,0.998072545621316,0.0013853164150158248,0.3709874427455173,0.26580423482305343,0.2878755533404966,0.3171326119378121,0.24450653286389518
8,103.0,134.0,408.0,371.0,252.37755742437554,262.1836862773225,248.922760431422,265.25207552921705,1.233973288682991,55769.0,58368.0,311.42752222821036,240.40829915780438,976.541197284454,0.734888721252846,0.635676142467046,266.47194255743943,0.7715155288095732,0.9954026829348932,0.771955854889524,0.9554721765350878,0.1734647069890428,0.0019290608675935658,0.0005820722385081,2.4682219778783658e-05,2.84667367091528e-09,7.631041264984972e-07,8.055413462137398e-10,0.5198537018396294,0.022876952968930227,0.012272351717873914,0.00037723886493371103,7.795307473149767e-08,5.3790971684617545e-05,-8.079349936422341e-07,0.4350186,0.001136,0.0052101,0.0287088,0.0731922,0.1832846,0.03419879823923111,0.9999998807907104,0.34517180919647217,0.31643250584602356,0.02873930335044861,0.1565713882446289,0.1935770958662033,0.09459224343299866,0.9764124358946016,0.9767808501652375,0.1914637855100952,1.8369422751268032,0.019923856481909752,0.012156409211456776,0.8801623150657578,0.5884760111024723,1.815571185988178,0.18712286952066265,3634.0,0.06516164894475425,0.026162979073854186,0.0062740605297470185,0.5279171524273633,0.3328999543835424,0.9913690558385524,0.005456529424854528,30.588647082568873,0.051675020014087636,0.7845168369162241,0.08196359634905592,18.548949016326915,0.04148401838427773,121.82667117784823,0.5396000344403546,5.26034830713421,0.05803241394077574,5.830416602346235,0.3798933873885053,0.014452577752668273,0.0029218406658665496,1.1469522169571944,0.307349648854887,-0.6578617709126817,0.08668505302070306,0.9984016721681798,0.0012247507288435378,0.37314091070077304,0.3232260319536429,0.32965370786985404,0.3109952867632939,0.42686291156190165
9,111.0,137.0,389.0,367.0,254.8412834311807,245.8265859425962,258.9149809310493,239.16316899504952,-1.5381092716581861,49056.0,49633.0,273.8127739747364,229.93055313155642,847.3940110268396,0.8584820454228618,0.5429942709363594,249.9200654339866,0.7672192680638098,0.9871162913919523,0.8397364001460764,0.9883746700783753,0.1628769855562056,0.0007931796774435759,8.858443475811578e-05,7.599082059676192e-07,-1.2162618907305939e-12,-8.618098485434641e-09,6.1149864468513386e-12,0.571583121959894,0.009491998731717065,0.002477938526245375,0.0006176160486762535,-7.579998606407227e-07,1.457581841926755e-05,9.598032974182824e-08,0.3742431,0.0010659,0.0026118,0.0183007,0.0663199,0.2314386,0.021663526073098183,0.9805055260658264,0.3153603971004486,0.2994728684425354,0.015887528657913208,0.13132613897323608,0.1550379991531372,0.07699131965637207,0.8682582524963344,1.2939842105201045,0.2218396477816904,1.7018015121763697,0.020827239379286766,0.014001427218317986,1.542705943683082,3.590154281165785,1.4526727221635263,0.2795360655756016,3785.0,0.07715671885192434,0.027677584596199643,0.007595684157667506,0.7230875182187904,0.4442553692788286,0.9855951626481181,0.00891569149320759,25.11410292941128,0.1355390181958427,0.7659291537747428,0.09099470045890401,16.70336765104592,0.035822225809816644,99.73332419942622,0.9864114420622627,5.103309065706274,0.06470159301671519,5.830347620033445,0.4133167580129813,0.013578464743972507,0.00327090248633273,1.301167486537766,0.326310073767333,-0.6101864883415108,0.09809655319046817,0.997065319700462,0.002244838682113559,0.3824473798988862,0.3078009461544251,0.2709368841763729,0.23184816616112988,0.23539285133277282
