Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Shape.FSD1,Shape.FSD2,Shape.FSD3,Shape.FSD4,Shape.FSD5,Shape.FSD6,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Nucleus.Gradient.Mag.Mean,Nucleus.Gradient.Mag.Std,Nucleus.Gradient.Mag.Skewness,Nucleus.Gradient.Mag.Kurtosis,Nucleus.Gradient.Mag.HistEntropy,Nucleus.Gradient.Mag.HistEnergy,Nucleus.Gradient.Canny.Sum,Nucleus.Gradient.Canny.Mean,Nucleus.Haralick.ASM.Mean,Nucleus.Haralick.ASM.Range,Nucleus.Haralick.Contrast.Mean,Nucleus.Haralick.Contrast.Range,Nucleus.Haralick.Correlation.Mean,Nucleus.Haralick.Correlation.Range,Nucleus.Haralick.SumOfSquares.Mean,Nucleus.Haralick.SumOfSquares.Range,Nucleus.Haralick.IDM.Mean,Nucleus.Haralick.IDM.Range,Nucleus.Haralick.SumAverage.Mean,Nucleus.Haralick.SumAverage.Range,Nucleus.Haralick.SumVariance.Mean,Nucleus.Haralick.SumVariance.Range,Nucleus.Haralick.SumEntropy.Mean,Nucleus.Haralick.SumEntropy.Range,Nucleus.Haralick.Entropy.Mean,Nucleus.Haralick.Entropy.Range,Nucleus.Haralick.DifferenceVariance.Mean,Nucleus.Haralick.DifferenceVariance.Range,Nucleus.Haralick.DifferenceEntropy.Mean,Nucleus.Haralick.DifferenceEntropy.Range,Nucleus.Haralick.IMC1.Mean,Nucleus.Haralick.IMC1.Range,Nucleus.Haralick.IMC2.Mean,Nucleus.Haralick.IMC2.Range
0,131.0,126.0,368.0,372.0,242.845203861559,238.0254955325049,237.84480359184505,240.55970937579082,-0.6771366678768189,38948.0,40390.0,277.4409675799561,187.5413942189442,799.7371567773473,0.7652449577206394,0.7369303864038086,222.68842311252985,0.6680388322870571,1.078164247260352,0.6759686424640815,0.9642980935875216,0.17995992258474072,0.004499641686261655,0.0008551662715312575,3.330977244741188e-05,1.890640085371089e-09,2.408811783231885e-07,5.294449056917878e-09,0.6745226249371115,0.0610185698661487,0.051288663950498706,0.004267902694308704,4.6015221736258246e-05,0.0004919992264852183,4.3240846933857585e-05,0.257021,0.0013026,0.0075999,0.0401838,0.0460239,0.2781557,0.07637811452150345,0.8608176112174988,0.3040783703327179,0.27060991525650024,0.03346845507621765,0.12554851174354553,0.14208753034472466,0.06510919332504272,1.2637131094907847,1.4567401866160683,0.21968465412875837,1.744279979570195,0.016010908409953117,0.010140975005924702,1.376591712073304,2.9312164462950454,1.3805243047631592,0.29656205904515426,1902.0,0.04883434322686659,0.04382126135566023,0.007823008004260633,0.42808158066374247,0.22069325751423868,0.9918499102140735,0.0042230041590125555,26.27333005809971,0.13119276982029504,0.8213363036769735,0.06905802135854133,15.789219667056848,0.01992306647882991,104.66523865173505,0.7310401284395596,4.887730856567015,0.08975175201416175,5.3466208737771,0.30117018388973804,0.01585119391714867,0.0029258067787196404,1.0535852853568977,0.24132970760134853,-0.6808001322195567,0.0740014627729989,0.9980717185071918,0.0011783544572683269
1,131.0,122.0,366.0,372.0,246.30633991652482,245.78872385571384,238.8368895347959,247.5293175396616,0.300553829339875,42887.0,43294.0,246.5495685324554,222.6856462654426,788.5067093990477,0.8668116621029708,0.4292022249450461,233.67803567099952,0.7299914893617021,1.0883671937391413,0.9032084200793425,0.9905991592368457,0.16085233694971343,0.00026630145843918644,3.133751973328108e-05,9.941792397755498e-08,1.4553308747968465e-13,1.6062821874200394e-09,-9.804894032822509e-14,2.4407409844715158,0.021274133377364005,0.06339896837249073,0.10682430825841825,0.008261205855874486,-0.015415208453985961,-0.0030061583437007893,0.4317755,0.0028413,0.0076915,0.0215009,0.0512395,0.2038825,0.004075095057487488,0.9999998807907104,0.0882258489727974,0.04988870024681091,0.03833714872598648,0.10143313556909561,0.08009444456547499,0.030049258843064308,2.589553000203878,8.696677116472067,0.5790839472560911,0.8782654377065563,0.010628920048475266,0.01211931835860014,2.2261638755377477,6.899021596813325,0.9197475844666178,0.548404895180779,973.0,0.0226875276890433,0.12691506009232253,0.013317453796545961,0.3353003516406786,0.19100908763072466,0.9874460121687708,0.007219899061987389,13.363043478594424,0.08531422100593389,0.8683479296936581,0.04744166861118759,6.016226283542354,0.011337684817886107,53.11687356273701,0.5322659716544962,3.8076631290265146,0.10179672533163586,4.142515890442505,0.25958826032156557,0.018318528256574693,0.0029502052237552513,0.9274505665472581,0.2571179860239645,-0.6715396153563393,0.08380188545070089,0.9930687343848912,0.0035267998888184326
2,147.0,160.0,353.0,339.0,245.095585143658,248.60231254379818,240.7930516444248,252.19706466365378,1.2899214912064112,28540.0,28803.0,207.62214542753034,175.8934984271805,639.4701294725885,0.8770478882571278,0.5313046830895679,190.62595994969192,0.7739870911753539,1.0234615305387076,0.847180815249669,0.9908690067006909,0.16215285139471597,0.0007101030379223185,7.291576964608806e-05,4.670263158466232e-07,8.895709718211577e-13,2.1462875283057323e-09,-2.57608471005723e-12,0.6149640705779372,0.010444945834766722,0.00609925451334638,0.0011097701635150955,-2.83782396240209e-06,-9.861146749003049e-05,-5.320753629453528e-07,0.4416024,0.0008403,0.0015925,0.0732221,0.0929541,0.1147337,0.0690855160355568,0.9627931714057922,0.3014466166496277,0.2627222537994385,0.03872436285018921,0.14877206087112427,0.19254418089985847,0.08802535384893417,1.1639512189629322,1.1710297652389476,0.19689107703126557,1.8085791380806122,0.017827508971095085,0.01297165546566248,1.2792635674318795,1.508234892944337,1.7534898002473542,0.2089084155851044,1410.0,0.04940434477925718,0.032442713853705146,0.007480639107468611,0.5360944595500698,0.30856309474305926,0.989431727854287,0.006137311039936533,25.380513634672614,0.1501253359467114,0.7906671516481023,0.08044472946380554,17.617696819879367,0.009576455557368746,100.98596007914064,0.9090644385300379,5.110421006347331,0.06983630839052513,5.664891692787149,0.3462072763352593,0.014563558584104241,0.00320304188561526,1.162159956533073,0.29978186528061257,-0.6513219194111636,0.08323615005190699,0.997970799477653,0.0013451911505235614
3,173.0,155.0,326.0,346.0,251.48402732896315,254.4978303019112,245.82190985921747,257.40989320133303,-0.2631965282046605,21662.0,21940.0,188.84530654909506,147.39472222159898,566.2569260369921,0.8489485315863732,0.6251494307664678,166.0750282795493,0.7412654416042158,1.020511839282522,0.7805050859618798,0.9873290793072015,0.16557726071116474,0.001617048606030125,0.00013094013885828266,2.4133758788101743e-06,3.1604423021674646e-11,5.890646421157793e-08,-2.9012252350157437e-11,0.8202131357399003,0.05497747492890283,0.021750964642615098,0.006964367670790646,7.779436413182634e-05,0.0014300559656720553,3.5989807232486805e-05,0.4293037,0.0023688,0.0017487,0.0357404,0.1184422,0.1381525,0.02945268712937832,0.9999998807907104,0.24323110282421112,0.19295251369476318,0.05027858912944794,0.1615121215581894,0.1837993562221527,0.08158096671104431,1.5272007966892391,2.3789659466274937,0.21931281617517795,1.7215168254189341,0.01926984079182148,0.014349584467709064,1.1174736763962194,0.8866899971616027,1.7841041393431554,0.19842401912987184,1189.0,0.054888745268211615,0.037619528248563856,0.008813983448988448,0.622280736756599,0.3612786446748566,0.9886790535137364,0.006612731011437445,27.498848500192054,0.13924238008019785,0.7755307371830373,0.07970394407977066,14.257686753769677,0.021958331166832323,109.37311326401152,0.9028334466947285,4.9985268902397,0.07605999530345287,5.615553268359412,0.35382337425620847,0.013917737413763339,0.002911074076812091,1.2366585969048285,0.29087958552141036,-0.6296148519588706,0.08660897541066848,0.997272063090997,0.001882208006114161
4,153.0,112.0,348.0,394.0,249.41883004499826,253.58599119814073,243.13288609009663,276.00005312513383,-0.27098913655976664,40446.0,40858.0,290.127227607678,178.57395744100378,790.080302527855,0.8142222620262414,0.7881351387629428,226.93048853417292,0.7355155482815058,1.0075390751139304,0.6155022364273885,0.989916295462333,0.1793478750609746,0.006527781286807418,6.392617838010002e-05,2.5936488905232492e-06,-3.10060596286974e-11,-2.041223168286161e-07,-1.2408752966491884e-11,1.724662342015448,0.8000159921802239,0.1891159570530777,0.24720371640629601,0.052130204579642785,0.22073637639328392,0.011803788369183377,0.4623941,0.0003877,0.0033484,0.0356818,0.1030728,0.1361559,0.0018340132664889097,0.9999998807907104,0.1150444895029068,0.08769792318344116,0.027346566319465637,0.10539642721414566,0.10719465836882591,0.05056465044617653,2.357355343902841,8.243288490901177,0.4150836381340096,1.1216782309382134,0.015178151428699493,0.01289801299571991,1.9212391067621934,4.990551790082885,1.4383373447928733,0.2964369155057929,1697.0,0.041957177471196164,0.078743773472956,0.015349162604942276,0.472034825411854,0.27086845857614955,0.9834082690419993,0.009565673026636579,14.229055696363652,0.04842271793595998,0.8288560777846437,0.06007149868306505,7.0000813276814275,0.017487243693115495,56.44418796004277,0.46455933031997176,4.147091384630691,0.11261131710688144,4.595881921886791,0.32358288632992327,0.016133830652198713,0.003042360643554065,1.0849864819821726,0.2687480417474516,-0.6184319726994446,0.09677035221402963,0.9926097512451705,0.004606863026181407
5,109.0,142.0,386.0,356.0,247.1395508599043,245.96408774340267,236.05156688472374,244.21477597548352,-1.2808922069149702,42214.0,42973.0,282.26558788944016,192.78094692159885,805.7787873376899,0.8170238034572691,0.7304397386471475,231.83730101398731,0.7121360369783056,0.984478812505866,0.6829771505731995,0.9823377469573918,0.17298519981901678,0.0039611047927034255,0.00010357282674736519,3.178017393385934e-06,-3.3386881147122405e-11,-1.1608292941009373e-07,-4.700772932545667e-11,5.95282831546449,4.757418820873741,24.353525017366977,5.244566333815386,50.5287918409636,11.439158783266247,30.982926632095776,0.0026691,0.0062659,0.0091566,0.0085575,0.1853213,0.3023667,0.00038672066875733435,0.9999998807907104,0.0426405631005764,0.017249763011932373,0.025390800088644028,0.06477157026529312,0.046456462470814586,0.013312926515936852,4.050039071441745,29.58539603454156,0.7724198284721765,0.47688713313512016,0.006361317355185747,0.009530054405331612,4.520982663944432,32.24319844024979,0.5572279368147522,0.735291106394526,476.0,0.011275880039797223,0.2481467207553591,0.012784307204795065,0.20649900448937428,0.09880295995926178,0.9811877161218534,0.00906465123909006,5.491021734827294,0.03212244371200956,0.9118536047471069,0.0317703685763191,3.1026342287376303,0.00959574457239798,21.757587934819796,0.2184348841137158,2.9309778923378866,0.08488156901033239,3.1328213518518027,0.17726066214286362,0.021351121370385136,0.0025146134172740683,0.7084488570979874,0.17931982930202583,-0.6902102783770464,0.07384182225360192,0.9830187027174259,0.006044830829092129
6,177.0,160.0,323.0,342.0,258.27124107759613,247.77453373244302,260.6221606725014,248.5128365807014,0.10730902283440726,21715.0,21961.0,187.00751443302246,153.6520339997967,575.2619766708755,0.8245905611618568,0.5700130852135796,166.27807045405615,0.8172136083094987,1.0185528003375384,0.8216356142994876,0.9887983243021721,0.16860683285370648,0.0010695864705818252,0.0005436464742018658,1.2268972090043138e-05,-7.075421065996589e-10,-2.8101920629849874e-07,-7.095077669479918e-10,0.5537277604675086,0.012842783503409741,0.023424405690463907,6.103153420011891e-05,-4.622975862641564e-08,-5.0475249991446225e-06,-5.646197375975904e-08,0.51567,0.0003273,0.0021303,0.0052834,0.1197866,0.1282644,0.14614573121070862,0.9999998807907104,0.34058883786201477,0.3109978437423706,0.029590994119644165,0.10893036425113678,0.1321822851896286,0.05798995494842529,1.4243199347478888,2.7797451636974744,0.27973290140220514,1.5281767898007212,0.015436486341059208,0.012710317969322205,1.9538263923301673,4.742711103344909,1.4458317165583885,0.29696091365076305,776.0,0.035735666589914804,0.0443372080155092,0.008795195069434832,0.5504320479471949,0.32379558086946386,0.9848986087936225,0.009047715055805039,18.250175832159503,0.22459989031774796,0.798132636531118,0.06894570348652862,20.330908281819326,0.007741210806564425,72.45027128069079,1.2221951421403219,4.8266997463535075,0.06052280407904842,5.399994733730516,0.35523253931530707,0.01474305592161824,0.002963123581941054,1.175572625715339,0.29652030912965444,-0.626220017377554,0.09248211470649281,0.9965377109076198,0.002444773783023324
7,137.0,101.0,358.0,393.0,243.17249515972895,246.13211923201033,238.59323547218958,249.44929544649398,-0.24305507973145526,49584.0,50063.0,295.32021574399226,214.81407999646785,855.6366517139589,0.8510844658933701,0.686220320628151,251.26143672706385,0.7683629827062542,0.9787417994352089,0.7273937527618708,0.9904320556099315,0.16809746943546183,0.0026798095015657204,5.6579466514659004e-05,1.889230378786641e-06,1.8043275866241665e-11,8.217770905602608e-08,7.480437529835964e-12,2.823978365685548,0.8841867421028935,0.045225104491282676,0.04106233429166697,-0.001505113967944388,0.03537746452549644,0.0009304996452251654,0.4594153,0.0006809,0.0071573,0.0351847,0.1516358,0.0913976,0.004141070414334536,0.9604994654655457,0.07318487763404846,0.0545453280210495,0.018639549612998962,0.06429959088563919,0.05884464643895626,0.02612406201660633,3.363295458854175,21.439135765222552,0.6443434797001208,0.6768588176114109,0.009704917669296265,0.010381604544818401,4.129519784250897,26.797726225233312,0.6976951929122425,0.6416501971133617,794.0,0.01601323007421749,0.1454818438655448,0.01841267918129383,0.29753956483912164,0.15030848582419915,0.9715396746044646,0.014551512522946175,5.230016596971634,0.038514914126433375,0.884343562865382,0.04304654061195268,4.552167794656976,0.001685593876328717,20.62252682304741,0.3043681423299418,3.3906384649428953,0.1210289520943042,3.6633464363222483,0.2476906391361675,0.019349745477188658,0.0029647976728180425,0.8492256231548385,0.20588337396544065,-0.6443941878972075,0.09131814217582579,0.9860167527510342,0.006890466410833684
8,147.0,140.0,356.0,363.0,254.52578498343544,246.483831246885,254.04251629849068,248.028579983398,0.7997610856571645,34109.0,34691.0,234.43437651518823,186.5274585883976,712.967604155647,0.8432168130705258,0.6057580337083702,208.3960835317489,0.7318428562233141,1.0485832482536548,0.7956489204402712,0.9832233144043123,0.16445800540090483,0.0013655385709452402,3.401964552231555e-05,2.0931877174366622e-07,-9.895404935888117e-14,6.429241907964904e-11,-5.49734387847896e-13,2.6420244806957793,0.31694294006541135,0.3933061181061995,0.01342128760306684,0.0009226738601168738,0.006681940214660711,0.0003154768816231641,0.3019885,0.0025101,0.0052612,0.0112703,0.0343844,0.3025786,0.005665643606334925,0.8488945960998535,0.0764882043004036,0.0626702681183815,0.013817936182022095,0.05675436556339264,0.04997973144054413,0.023520320653915405,3.2249386159806708,18.42802076658034,0.5935336486358406,0.7512773437551631,0.008202791213989258,0.00894604716449976,4.772888948831321,36.971259896783494,0.5157788848687671,0.758915414595998,267.0,0.007827846023043771,0.15444188141235296,0.01790242543661047,0.2407071075313641,0.12382317646950655,0.9724330458402071,0.014262529306964034,4.36878566585444,0.04418682450728362,0.9032417427896462,0.03659909379388693,4.58627866164596,0.010588717002451453,17.234435555886392,0.2970388544783873,3.2547180979612014,0.12215982925866697,3.475609023337888,0.22652376062349866,0.020707299588462867,0.002763391582034539,0.7592739101004293,0.1949138949402499,-0.6792690644913639,0.08631861135537833,0.987193211742821,0.0060837818921757325
9,103.0,134.0,408.0,371.0,252.37755742437554,262.1836862773225,249.68778380109367,256.5294111152669,1.233973288682991,55769.0,58368.0,311.42752222821036,240.40829915780438,976.541197284454,0.734888721252846,0.635676142467046,266.47194255743943,0.7715155288095732,0.9954026829348932,0.771955854889524,0.9554721765350878,0.1734647069890428,0.0019290608675935658,0.0005820722385081,2.4682219778783658e-05,2.84667367091528e-09,7.631041264984972e-07,8.055413462137398e-10,3.1679084750665276,0.5860715377397452,3.371555950682482,0.44971953739055565,0.5527427879769052,0.23146668351737493,0.03368018858974034,0.4350186,0.001136,0.0052101,0.0287088,0.0731922,0.1832846,0.0005840406520292163,0.9999998807907104,0.07302560657262802,0.04258738458156586,0.030438221991062164,0.0898263081908226,0.06851398013532162,0.028654538094997406,2.8057344388282335,10.451781349268352,0.6423084370738082,0.7514242021172127,0.011382360011339188,0.013469329103827477,2.57621978544914,9.05970388830102,0.8979493688953256,0.5657982248450624,1367.0,0.024511825566174757,0.14781048286889592,0.015632782639093817,0.3666235238186949,0.21215839728711583,0.9784441740784207,0.012581050785778314,8.508717609942053,0.051937225393446695,0.8675142793193242,0.04794936596531496,4.449361634395752,0.011005746976108455,33.668246915949524,0.4197719335804706,3.4807844960056187,0.09612615528719726,3.821598350766408,0.2494713597807392,0.018315996043599965,0.002964282750595848,0.9506878543330264,0.2569196348226538,-0.6404061840228569,0.08898688833060331,0.9874323355193362,0.006320013293733884
