Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Shape.FSD1,Shape.FSD2,Shape.FSD3,Shape.FSD4,Shape.FSD5,Shape.FSD6,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Nucleus.Gradient.Mag.Mean,Nucleus.Gradient.Mag.Std,Nucleus.Gradient.Mag.Skewness,Nucleus.Gradient.Mag.Kurtosis,Nucleus.Gradient.Mag.HistEntropy,Nucleus.Gradient.Mag.HistEnergy,Nucleus.Gradient.Canny.Sum,Nucleus.Gradient.Canny.Mean,Nucleus.Haralick.ASM.Mean,Nucleus.Haralick.ASM.Range,Nucleus.Haralick.Contrast.Mean,Nucleus.Haralick.Contrast.Range,Nucleus.Haralick.Correlation.Mean,Nucleus.Haralick.Correlation.Range,Nucleus.Haralick.SumOfSquares.Mean,Nucleus.Haralick.SumOfSquares.Range,Nucleus.Haralick.IDM.Mean,Nucleus.Haralick.IDM.Range,Nucleus.Haralick.SumAverage.Mean,Nucleus.Haralick.SumAverage.Range,Nucleus.Haralick.SumVariance.Mean,Nucleus.Haralick.SumVariance.Range,Nucleus.Haralick.SumEntropy.Mean,Nucleus.Haralick.SumEntropy.Range,Nucleus.Haralick.Entropy.Mean,Nucleus.Haralick.Entropy.Range,Nucleus.Haralick.DifferenceVariance.Mean,Nucleus.Haralick.DifferenceVariance.Range,Nucleus.Haralick.DifferenceEntropy.Mean,Nucleus.Haralick.DifferenceEntropy.Range,Nucleus.Haralick.IMC1.Mean,Nucleus.Haralick.IMC1.Range,Nucleus.Haralick.IMC2.Mean,Nucleus.Haralick.IMC2.Range,Intensity.wholeNucleusIntensity.part05,Intensity.part04,Intensity.part03,Intensity.part02,Intensity.part01,Intensity.distribution.part05,Intensity.distribution.part04,Intensity.distribution.part03,Intensity.distribution.part02,Intensity.distribution.part01
0,131.0,126.0,368.0,372.0,242.845203861559,238.0254955325049,245.33347199803697,234.18371411811165,-0.6771366678768189,38948.0,40390.0,277.4409675799561,187.5413942189442,799.7371567773473,0.7652449577206394,0.7369303864038086,222.68842311252985,0.6680388322870571,1.078164247260352,0.6759686424640815,0.9642980935875216,0.17995992258474072,0.004499641686261655,0.0008551662715312575,3.330977244741188e-05,1.890640085371089e-09,2.408811783231885e-07,5.294449056917878e-09,0.013439608475151826,2.5296126176460054e-05,3.029151773126481e-07,6.5997979245185065e-09,-2.1725815366259973e-16,-3.2922848347304786e-11,-1.9969426025750004e-16,0.257021,0.0013026,0.0075999,0.0401838,0.0460239,0.2781557,7.0,26.0,13.393293622265585,13.0,0.39329362226558473,1.8254385074364885,2.0,1.0,0.612799704747537,0.7708454251842403,0.30875392705952315,1.3380578220603943,0.8617887699500114,1.0410449651328857,5.941950370032264,43.36856342280426,0.4393420265968884,0.7936237672856304,0.0,0.0,0.29314841081473675,0.01396358250266716,0.12541646996755595,0.038880965604613266,0.9180973206129154,0.02558193451808244,0.765758362406355,0.0018142977537036753,0.9429938894849602,0.015161825963567965,2.2174455631523826,0.009027538153266956,2.9376169796578635,0.045977507029475895,1.8817600322822419,0.04697196334066178,2.0240721979335,0.09111070028508994,0.024076790438554974,0.001399146090800496,0.5302255855001836,0.10165953491982471,-0.6861390395485774,0.059154117222399716,0.9377738552594119,0.01190322148822709,13.393293622265585,13.671903881700555,13.285832338628225,13.319752449716349,13.034438502673797,13.072435897435897,0.20595066743733192,0.2001349673956771,0.2006459327724523,0.19634802383957556
1,131.0,122.0,366.0,372.0,246.30633991652482,245.78872385571384,248.594604022876,245.01005094198945,0.300553829339875,42887.0,43294.0,246.5495685324554,222.6856462654426,788.5067093990477,0.8668116621029708,0.4292022249450461,233.67803567099952,0.7299914893617021,1.0883671937391413,0.9032084200793425,0.9905991592368457,0.16085233694971343,0.00026630145843918644,3.133751973328108e-05,9.941792397755498e-08,1.4553308747968465e-13,1.6062821874200394e-09,-9.804894032822509e-14,0.007225034708535697,3.9897669658208747e-07,2.203578082384255e-09,1.3905811411513433e-10,-7.61376829448947e-20,-7.253593697214706e-14,1.1333586759639086e-20,0.4317755,0.0028413,0.0076915,0.0215009,0.0512395,0.2038825,15.0,50.0,22.39158719425467,22.0,0.3915871942546687,2.315033248443067,3.0,1.0,0.516654706750453,0.9134907117752085,0.4105137978566175,1.060952756217376,1.291986450325073,1.6797068286392152,6.765323332801141,52.76194660684467,0.43397212672915064,0.7905406069254145,441.0,0.010282836290717468,0.3434033109986828,0.013828462375664763,0.19765183377560802,0.05209938694554636,0.941377050807664,0.015807047230231852,1.6864413067367297,0.010420715571026307,0.9318676829856283,0.015686149519568926,4.08634970597236,0.01721485755499419,6.5481133931713105,0.09378224922964051,1.8338082797988646,0.04518938390260141,1.963264737116265,0.07421881730773716,0.023196288569506382,0.0013892594990686478,0.6098197284217071,0.09813330550745147,-0.6342512211211622,0.05315021677095666,0.9156732264251466,0.013706817261596393,22.39158719425467,23.039676375404532,22.055236669162298,21.544923472368268,22.461508553654742,22.927028604786923,0.20565929522610332,0.1968718811635299,0.19231666733642608,0.20049838997699973
2,147.0,160.0,353.0,339.0,245.095585143658,248.60231254379818,243.80080813000575,244.7032317189425,1.2899214912064112,28540.0,28803.0,207.62214542753034,175.8934984271805,639.4701294725885,0.8770478882571278,0.5313046830895679,190.62595994969192,0.7739870911753539,1.0234615305387076,0.847180815249669,0.9908690067006909,0.16215285139471597,0.0007101030379223185,7.291576964608806e-05,4.670263158466232e-07,8.895709718211577e-13,2.1462875283057323e-09,-2.57608471005723e-12,0.007275861381198086,1.0179208608485386e-06,6.009801636675328e-09,4.976759872642179e-10,-6.231796454909829e-19,-2.111387736572377e-13,-5.936714627321615e-19,0.4416024,0.0008403,0.0015925,0.0732221,0.0929541,0.1147337,11.0,40.0,21.869551506657324,22.0,-0.13044849334267639,3.3498284126965285,4.0,2.0,0.20999638071473783,-0.05065465291002491,0.24580830504304557,1.553098602327272,1.4072755136203456,1.6655327210061555,6.150544161516666,47.002841981178655,0.25993467842742546,0.9051420669253347,376.0,0.01317449194113525,0.2724032720592521,0.01733169147596403,0.2003260745104297,0.06262768707851962,0.931800349041591,0.021960733604440175,1.4696048119836378,0.014002005374399218,0.9269336587748982,0.019776824277301208,4.120798333612388,0.02035851819710377,5.678093173424122,0.1186357085761145,2.099858674622076,0.07308773357016474,2.244522738210731,0.11038996418744018,0.022752319467285467,0.0016935103605323944,0.6483196563014756,0.12353541053323214,-0.6199690481079867,0.06967487563987373,0.9308728169990655,0.016454584839716402,21.869551506657324,21.53170210700068,22.01876876876877,21.695001759943683,22.186202864659457,23.785340314136125,0.19360078985496193,0.19798021559481846,0.1950690872350621,0.19948568752880685
3,173.0,155.0,326.0,346.0,251.48402732896315,254.4978303019112,251.1879916131372,252.9940433265666,-0.2631965282046605,21662.0,21940.0,188.84530654909506,147.39472222159898,566.2569260369921,0.8489485315863732,0.6251494307664678,166.0750282795493,0.7412654416042158,1.020511839282522,0.7805050859618798,0.9873290793072015,0.16557726071116474,0.001617048606030125,0.00013094013885828266,2.4133758788101743e-06,3.1604423021674646e-11,5.890646421157793e-08,-2.9012252350157437e-11,0.007509034123293691,3.2765703420458993e-06,9.653230562452298e-09,1.4138604940252806e-11,9.889686968925705e-22,-2.5135118870630774e-14,-5.1288357045998015e-21,0.4293037,0.0023688,0.0017487,0.0357404,0.1184422,0.1381525,15.0,39.0,22.149293694026404,22.0,0.14929369402640447,2.715677564539874,4.0,2.0,1.0371678307101162,3.2196215319482526,0.28897673586268163,1.4861878299274776,1.3009233891265521,1.9576810876143906,6.1440205952730444,41.41535933574797,0.2891719402973406,0.893056862118322,331.0,0.015280214199981535,0.3056216651070522,0.016802884708668364,0.21762035957952383,0.0855101678939067,0.9328355741600804,0.02702169780856767,1.6211212646673008,0.01580676421420346,0.932136057397519,0.01941574401129842,4.053806523551432,0.025888032509529424,6.266864699089674,0.14873722475073237,1.980674047412304,0.07147317230105932,2.107517000629329,0.1061942277316863,0.02332953082020838,0.0016362800943849863,0.6180158073244146,0.12606176834786742,-0.6377293245177529,0.0707185165304437,0.9279749152237867,0.0165498764309453,22.149293694026404,22.649910463034026,21.818870410011527,21.17103736365746,22.624855713736054,23.391657010428737,0.20285379492697234,0.19541095629999153,0.1896089293053815,0.2026294032683681
4,153.0,112.0,348.0,394.0,249.41883004499826,253.58599119814073,252.84472502197656,243.90669893910385,-0.27098913655976664,40446.0,40858.0,290.127227607678,178.57395744100378,790.080302527855,0.8142222620262414,0.7881351387629428,226.93048853417292,0.7355155482815058,1.0075390751139304,0.6155022364273885,0.989916295462333,0.1793478750609746,0.006527781286807418,6.392617838010002e-05,2.5936488905232492e-06,-3.10060596286974e-11,-2.041223168286161e-07,-1.2408752966491884e-11,0.013849587352680923,3.3526724668126305e-05,4.737730434971864e-08,2.5864594321023604e-08,8.691191296845039e-16,1.339808713085639e-10,-2.537580346278018e-16,0.4623941,0.0003877,0.0033484,0.0356818,0.1030728,0.1361559,5.0,30.0,12.31909212283044,12.0,0.3190921228304404,2.420234168182332,3.0,2.0,0.4423016106107489,1.8029195543818837,0.2891737605841238,1.400130015567092,0.8261590301410404,0.9258573262060288,6.07170825208204,49.88162046027416,0.4275572129893764,0.8015084937985715,0.0,0.0,0.2779771942088463,0.013397380435378248,0.10559282689748177,0.030602410085692783,0.9160821033178231,0.024661934373170324,0.6292975269466681,0.0027167026247008064,0.9519255751483322,0.012864138563226768,2.1985251738736977,0.010841674367509935,2.4115972808891906,0.04146922058449665,1.935858016379103,0.057558021073171206,2.060184775959738,0.09536246402460646,0.024946248290139843,0.0012628952488883682,0.47141714509889887,0.09152489503403705,-0.7094932934453839,0.060803733413275496,0.9469362386490465,0.010617882351476426,12.31909212283044,11.75407590080833,12.574330889497395,12.318723615594736,12.843254376930998,14.059950556242274,0.18495694535826265,0.1978641154670053,0.19384199233360463,0.20209577665335088
5,109.0,142.0,386.0,356.0,247.1395508599043,245.96408774340267,253.2304447308734,244.61749481263882,-1.2808922069149702,42214.0,42973.0,282.26558788944016,192.78094692159885,805.7787873376899,0.8170238034572691,0.7304397386471475,231.83730101398731,0.7121360369783056,0.984478812505866,0.6829771505731995,0.9823377469573918,0.17298519981901678,0.0039611047927034255,0.00010357282674736519,3.178017393385934e-06,-3.3386881147122405e-11,-1.1608292941009373e-07,-4.700772932545667e-11,0.0048336021071846095,2.472602656410355e-06,1.932413792588689e-09,2.7986390265009137e-10,2.0519359539493043e-19,2.0433630200176115e-13,-1.5940805901502826e-20,0.0026691,0.0062659,0.0091566,0.0085575,0.1853213,0.3023667,17.0,70.0,35.56272800492727,35.0,0.5627280049272727,6.27834906927375,9.0,5.0,0.5194588459094531,0.12318621925053463,0.23894302020085953,1.5737190626828395,2.0414699173944078,2.7369318397545315,6.972704118061664,57.92918500662894,0.2863424744003809,0.8899867125979867,511.0,0.012104988866252902,0.2099386562459063,0.014040948091322086,0.31224598192212044,0.12240016885357685,0.9634962540096825,0.01449366996593493,4.278394190220288,0.02274568134601651,0.9197052329535305,0.021970045338912336,6.136184861932052,0.026009257130572117,16.801330778959034,0.21338289423761836,2.587389111934798,0.08502636418221687,2.7470651755003583,0.13056915859736629,0.022132514023270017,0.001785958999356664,0.6828777299533761,0.13218714939378295,-0.6639240938868578,0.06257903341889182,0.9671842465719421,0.008547706089981788,35.56272800492727,36.7071696129329,34.890026224515694,35.737154384715794,34.29721178564366,32.88356973995272,0.2103380334147093,0.19992550717576027,0.20477968888319248,0.1965285843248016
6,177.0,160.0,323.0,342.0,258.27124107759613,247.77453373244302,257.42196746219327,241.4938602882377,0.10730902283440726,21715.0,21961.0,187.00751443302246,153.6520339997967,575.2619766708755,0.8245905611618568,0.5700130852135796,166.27807045405615,0.8172136083094987,1.0185528003375384,0.8216356142994876,0.9887983243021721,0.16860683285370648,0.0010695864705818252,0.0005436464742018658,1.2268972090043138e-05,-7.075421065996589e-10,-2.8101920629849874e-07,-7.095077669479918e-10,0.008146041755642921,3.0490918460671443e-06,5.8690755036520716e-08,4.978709121581396e-09,7.894905942647845e-17,4.1272793784127996e-12,-3.1781607388289736e-17,0.51567,0.0003273,0.0021303,0.0052834,0.1197866,0.1282644,9.0,35.0,20.731475938291503,20.0,0.7314759382915028,3.951765570700492,6.0,3.0,0.289301891817387,-0.5610521367692711,0.1852661620412934,1.8147150418068034,1.4419363315106186,1.853345146494209,6.026047679586229,43.83786830406435,0.3686310921253368,0.8518701010712267,379.0,0.017453373244301174,0.27054018211051517,0.01607851873667826,0.22303372774621233,0.08589344212771666,0.907129976110387,0.03718029926027844,1.2022557122032334,0.01895225304345427,0.9306905262604767,0.019095621087513726,4.079696753350607,0.025852234616561276,4.585989121066728,0.1617024543015262,2.1157410462709625,0.08877006572617896,2.2743400288141578,0.11973568137326573,0.0231847879932894,0.0016135813402762857,0.6358062296759343,0.12988463621191182,-0.6239853067546925,0.07616712362730538,0.9340248064291937,0.017468772883229122,20.731475938291503,21.13710499490316,20.71066073488219,20.604161849710984,19.92528735632184,20.265353418308226,0.20592922930355936,0.20177457625016246,0.2007370059040681,0.1941230395519503
7,137.0,101.0,358.0,393.0,243.17249515972895,246.13211923201033,246.03719308043352,246.86359890824374,-0.24305507973145526,49584.0,50063.0,295.32021574399226,214.81407999646785,855.6366517139589,0.8510844658933701,0.686220320628151,251.26143672706385,0.7683629827062542,0.9787417994352089,0.7273937527618708,0.9904320556099315,0.16809746943546183,0.0026798095015657204,5.6579466514659004e-05,1.889230378786641e-06,1.8043275866241665e-11,8.217770905602608e-08,7.480437529835964e-12,0.0074337048689638845,3.900955314894548e-06,4.608343808875153e-09,3.175646680808645e-10,-3.7731663450566632e-19,-4.657489600776818e-13,7.222797427528345e-20,0.4594153,0.0006809,0.0071573,0.0351847,0.1516358,0.0913976,13.0,38.0,22.100859148112296,22.0,0.10085914811229557,2.7775236911607193,4.0,2.0,0.5447474429985537,0.519508323082619,0.2511298488744197,1.5264815207126112,1.2794252625950355,1.541288418513492,6.877821603183335,57.49825294950886,0.24987536032813304,0.9058533699313427,497.0,0.010023394643433365,0.29103531535083194,0.015438423546832503,0.20350189800023827,0.0670258990162294,0.932501425590771,0.02272964028363489,1.5081699434581373,0.01159535959395086,0.9217902044501078,0.018364270359814805,4.17218490729081,0.01688484182440586,5.829177875832311,0.11340733739203301,2.0132049708179864,0.05674987391159081,2.1670070075725727,0.09476348742975249,0.022239477282984248,0.0015112810011289196,0.6687933560332705,0.11261635766922728,-0.6042861147469947,0.06285239399856546,0.9200408108754203,0.016465850515410496,22.100859148112296,21.953578012401543,21.617243867243868,22.63659325116185,22.7768803634528,22.110494450050453,0.1976112293241331,0.19458377731377086,0.2037592695616878,0.20502203906115105
8,147.0,140.0,356.0,363.0,254.52578498343544,246.483831246885,251.79057764157972,245.23337046545657,0.7997610856571645,34109.0,34691.0,234.43437651518823,186.5274585883976,712.967604155647,0.8432168130705258,0.6057580337083702,208.3960835317489,0.7318428562233141,1.0485832482536548,0.7956489204402712,0.9832233144043123,0.16445800540090483,0.0013655385709452402,3.401964552231555e-05,2.0931877174366622e-07,-9.895404935888117e-14,6.429241907964904e-11,-5.49734387847896e-13,0.007951308945292954,3.2647581798511958e-06,3.4433298745876537e-09,2.6869642811512735e-10,-2.445730703255146e-19,4.708577387185906e-13,-8.355922528724888e-20,0.3019885,0.0025101,0.0052612,0.0112703,0.0343844,0.3025786,13.0,31.0,20.81787797941892,21.0,-0.18212202058107962,2.366904247144971,3.0,2.0,0.1654211434715492,-0.17848065844388517,0.20474166027540913,1.7163940468661232,1.3184417572170875,1.6482907710590193,6.4163608000216,48.906626087273885,0.35724295375494985,0.8460912270031012,416.0,0.012196194552757337,0.25649205628779265,0.01697468386387263,0.20261625003703715,0.0626382507430418,0.9304128450168232,0.021949860164835355,1.456412107969753,0.009118729931513414,0.9252330365680935,0.01972362029326924,3.7114606896623945,0.01668766289960555,5.623032181841973,0.09911317046909218,2.016800955703407,0.06363495346370884,2.1595889953221112,0.09982730329904488,0.022585549551990273,0.001681616706325391,0.6539367102874654,0.11977581932482351,-0.6282095809877595,0.06445835767693797,0.9280271627262392,0.015418376452882465,20.81787797941892,21.131174220847914,20.872113676731793,20.22599617703279,20.58698311720088,21.25863335782513,0.20303813992855466,0.2005489658553826,0.19434076871767947,0.19780929896139482
9,103.0,134.0,408.0,371.0,252.37755742437554,262.1836862773225,251.97977297913323,256.8761593131343,1.233973288682991,55769.0,58368.0,311.42752222821036,240.40829915780438,976.541197284454,0.734888721252846,0.635676142467046,266.47194255743943,0.7715155288095732,0.9954026829348932,0.771955854889524,0.9554721765350878,0.1734647069890428,0.0019290608675935658,0.0005820722385081,2.4682219778783658e-05,2.84667367091528e-09,7.631041264984972e-07,8.055413462137398e-10,0.010520231218589613,4.1489709869258985e-06,1.2435057209043208e-07,5.828223941465359e-09,1.0272841386676168e-16,4.3911669185352204e-12,1.185963043375271e-16,0.4350186,0.001136,0.0052101,0.0287088,0.0731922,0.1832846,7.0,28.0,15.387742294106044,16.0,-0.6122577058939562,2.6599471641566192,3.0,2.0,-0.02360500199217394,0.16380867566969526,0.2130556672061543,1.707813233775695,0.9311085671521298,0.9787140970723294,6.121129205069332,51.47781421090335,0.40062755915502785,0.8146051882277999,304.0,0.005451057038856713,0.43239326610767037,0.008447617623634829,0.07490920787858156,0.02361323030976241,0.9494850017443022,0.016262103552348806,0.7418037669788237,0.005243155662117971,0.9682436775867803,0.008928697853908263,2.8849940843276047,0.011261794612013709,2.8923058600367133,0.044585852958233474,1.6168415608947,0.04638078554228442,1.7044710126313467,0.07258518888093923,0.026694948466356935,0.0009224126889868581,0.3535930397837769,0.07592872781108995,-0.747714833746822,0.05587610157788725,0.9323434432048476,0.01086848302103327,15.387742294106044,14.20764103074321,15.379533512751506,16.129226078378622,17.05579655946148,17.37932584269663,0.1772597761677392,0.1918807395355461,0.2012341808345011,0.2127944163250363
