Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Shape.FSD1,Shape.FSD2,Shape.FSD3,Shape.FSD4,Shape.FSD5,Shape.FSD6,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Nucleus.Gradient.Mag.Mean,Nucleus.Gradient.Mag.Std,Nucleus.Gradient.Mag.Skewness,Nucleus.Gradient.Mag.Kurtosis,Nucleus.Gradient.Mag.HistEntropy,Nucleus.Gradient.Mag.HistEnergy,Nucleus.Gradient.Canny.Sum,Nucleus.Gradient.Canny.Mean,Nucleus.Haralick.ASM.Mean,Nucleus.Haralick.ASM.Range,Nucleus.Haralick.Contrast.Mean,Nucleus.Haralick.Contrast.Range,Nucleus.Haralick.Correlation.Mean,Nucleus.Haralick.Correlation.Range,Nucleus.Haralick.SumOfSquares.Mean,Nucleus.Haralick.SumOfSquares.Range,Nucleus.Haralick.IDM.Mean,Nucleus.Haralick.IDM.Range,Nucleus.Haralick.SumAverage.Mean,Nucleus.Haralick.SumAverage.Range,Nucleus.Haralick.SumVariance.Mean,Nucleus.Haralick.SumVariance.Range,Nucleus.Haralick.SumEntropy.Mean,Nucleus.Haralick.SumEntropy.Range,Nucleus.Haralick.Entropy.Mean,Nucleus.Haralick.Entropy.Range,Nucleus.Haralick.DifferenceVariance.Mean,Nucleus.Haralick.DifferenceVariance.Range,Nucleus.Haralick.DifferenceEntropy.Mean,Nucleus.Haralick.DifferenceEntropy.Range,Nucleus.Haralick.IMC1.Mean,Nucleus.Haralick.IMC1.Range,Nucleus.Haralick.IMC2.Mean,Nucleus.Haralick.IMC2.Range,Intensity.wholeNucleusIntensity.part05,Intensity.part04,Intensity.part03,Intensity.part02,Intensity.part01,Intensity.distribution.part05,Intensity.distribution.part04,Intensity.distribution.part03,Intensity.distribution.part02,Intensity.distribution.part01
0,131.0,126.0,368.0,372.0,242.845203861559,238.0254955325049,244.79273552201354,237.34502623243193,-0.6771366678768189,38948.0,40390.0,277.4409675799561,187.5413942189442,799.7371567773473,0.7652449577206394,0.7369303864038086,222.68842311252985,0.6680388322870571,1.078164247260352,0.6759686424640815,0.9642980935875216,0.17995992258474072,0.004499641686261655,0.0008551662715312575,3.330977244741188e-05,1.890640085371089e-09,2.408811783231885e-07,5.294449056917878e-09,0.013390999312620559,2.3255387461445032e-05,3.214265115660747e-07,5.083689822875526e-09,1.3977186869598105e-17,-1.0253147227408951e-12,2.0502297235096993e-16,0.257021,0.0013026,0.0075999,0.0401838,0.0460239,0.2781557,8.0,30.0,14.079464927595769,14.0,0.07946492759576884,2.7018923454321975,4.0,2.0,0.8654438403496297,1.093283032502761,0.22241989854377905,1.6573086053545245,1.041449349014873,1.1995316234740985,5.532949979063522,40.09953131103595,0.4262540093349238,0.8076944316957361,519.0,0.01332545958714183,0.3001308974082537,0.013218718999798595,0.11171749752682646,0.03917857150063894,0.932120758050661,0.023963183804131094,0.8230406373965453,0.0019481277031951905,0.952611930007362,0.01396421386296609,2.2871576452204074,0.009167493281144967,3.180445052059355,0.046971082313421064,1.9322441691053216,0.05243320049008071,2.064344820600405,0.09794031189472818,0.025088251822112762,0.0013228258179363364,0.47321573168371356,0.10347059052776297,-0.7209524437933467,0.06046518651603905,0.9499274805093687,0.010111069146895635,14.079464927595769,15.652282098677663,13.700211183546047,13.068205260443527,12.506310160427807,12.287820512820513,0.23286947659120757,0.20382721109855953,0.19442443598962764,0.18606474651975285
1,131.0,122.0,366.0,372.0,246.30633991652482,245.78872385571384,247.08981161036476,246.94933639359147,0.300553829339875,42887.0,43294.0,246.5495685324554,222.6856462654426,788.5067093990477,0.8668116621029708,0.4292022249450461,233.67803567099952,0.7299914893617021,1.0883671937391413,0.9032084200793425,0.9905991592368457,0.16085233694971343,0.00026630145843918644,3.133751973328108e-05,9.941792397755498e-08,1.4553308747968465e-13,1.6062821874200394e-09,-9.804894032822509e-14,0.006321024469368842,3.316336465084488e-07,2.4057959664443275e-09,2.2198825500610747e-10,7.657877239542802e-20,-5.495961325492593e-14,-1.4301553507111526e-19,0.4317755,0.0028413,0.0076915,0.0215009,0.0512395,0.2038825,14.0,54.0,25.88537319001096,26.0,-0.11462680998904062,5.222881151982866,7.0,3.0,0.39975810042424137,0.2621889787108196,0.2127589887143315,1.6937069663273574,1.7208468826773722,1.8431663060474397,5.58107665572266,40.787096547380884,0.513279965275824,0.7433145562325034,483.0,0.011262154032690559,0.22662562738822806,0.013793685275714535,0.19582297869466955,0.06364096646231521,0.9579944170242126,0.013868083670460218,2.331779146865604,0.012382841834480018,0.9337243959187962,0.01808249549224672,4.598732693890863,0.019322610890732506,9.131293608767749,0.1131723338002324,2.429399593127224,0.07595022610325275,2.560085149131317,0.11266892928445005,0.023372569705909278,0.0016010365333998418,0.6022146875477222,0.1139965133549935,-0.690969515703443,0.0570825450477358,0.9660285742132673,0.007743079760943794,25.88537319001096,26.6442071197411,26.153398219782048,25.92464072905713,24.58709175738725,20.862813776999417,0.21457473979298003,0.21062209104184632,0.2087798302146654,0.1980080995616715
2,147.0,160.0,353.0,339.0,245.095585143658,248.60231254379818,241.79186787495672,246.20708234266033,1.2899214912064112,28540.0,28803.0,207.62214542753034,175.8934984271805,639.4701294725885,0.8770478882571278,0.5313046830895679,190.62595994969192,0.7739870911753539,1.0234615305387076,0.847180815249669,0.9908690067006909,0.16215285139471597,0.0007101030379223185,7.291576964608806e-05,4.670263158466232e-07,8.895709718211577e-13,2.1462875283057323e-09,-2.57608471005723e-12,0.006333334331250192,8.775412167593871e-07,3.5419776217709738e-09,2.2080752341440214e-10,1.1322928646237278e-19,2.0638007374085063e-13,1.5909411695211316e-19,0.4416024,0.0008403,0.0015925,0.0732221,0.0929541,0.1147337,12.0,61.0,24.6989488437281,24.0,0.6989488437281004,5.023474566739725,6.0,3.0,0.828565316959401,2.0078471994182747,0.2892025821957061,1.432922364104122,1.9744028152848363,1.9169304762603978,4.358984587480976,28.37631070998595,0.570211665639659,0.7139650174406985,428.0,0.014996496145760336,0.2457927551890103,0.01804580348432791,0.220580237138667,0.07366482254886014,0.9433002484022814,0.019429178750837273,1.9464283496000447,0.017318776764813748,0.9170460759311415,0.024190666449703024,4.656076825730343,0.02323181645603878,7.565133161261509,0.14293992960811153,2.411708067065839,0.085107103778439,2.578170350807649,0.1346828275641414,0.021883235542880623,0.0019936416303416617,0.7017481748097967,0.1396391712599081,-0.6229261932783918,0.07206696260761136,0.9504723367370087,0.0139113433493806,24.6989488437281,23.37896883192543,25.206956956956958,25.518655403027104,25.373867290266006,26.93979057591623,0.18493351122524593,0.19939335609139322,0.20185896903136555,0.20071365871981656
3,173.0,155.0,326.0,346.0,251.48402732896315,254.4978303019112,248.62503415306344,252.67308263429155,-0.2631965282046605,21662.0,21940.0,188.84530654909506,147.39472222159898,566.2569260369921,0.8489485315863732,0.6251494307664678,166.0750282795493,0.7412654416042158,1.020511839282522,0.7805050859618798,0.9873290793072015,0.16557726071116474,0.001617048606030125,0.00013094013885828266,2.4133758788101743e-06,3.1604423021674646e-11,5.890646421157793e-08,-2.9012252350157437e-11,0.006129601280182539,2.260942450905704e-06,6.816638672647619e-09,7.538070255912522e-11,-1.3286944417552372e-20,-1.0035514614931154e-13,-5.237596517375303e-20,0.4293037,0.0023688,0.0017487,0.0357404,0.1184422,0.1381525,14.0,59.0,27.20242821530791,26.0,1.2024282153079113,5.034986780387391,6.0,3.0,1.0106610739831905,2.260393872699116,0.2859005507611545,1.4852881154183861,1.9518549643213488,2.259646375465832,5.29026963433799,35.221431080452945,0.5401506637399845,0.742545839500333,364.0,0.016803619241067307,0.25513078489421237,0.016201333368429938,0.2519580722513237,0.10288351418625521,0.9487300250439148,0.021394675177181632,2.458822761268862,0.023134960402850346,0.9261976676567663,0.021213995881109504,4.9289973961978895,0.031281400391347525,9.583332972824127,0.1954233557976366,2.3368654249223644,0.08082566578822048,2.490446726978379,0.12941662607863424,0.022791552103771862,0.0018040985249964288,0.6613198047329545,0.14131990229873892,-0.6474115399736128,0.0703892990707119,0.953140241387356,0.012468839313607982,27.20242821530791,26.989255564082885,28.805203359130577,26.828498491529356,25.424778761061948,25.07531865585168,0.20273915437271714,0.21638027609535254,0.20153157186376092,0.19098704422921622
4,153.0,112.0,348.0,394.0,249.41883004499826,253.58599119814073,252.32167901967608,245.55485913474334,-0.27098913655976664,40446.0,40858.0,290.127227607678,178.57395744100378,790.080302527855,0.8142222620262414,0.7881351387629428,226.93048853417292,0.7355155482815058,1.0075390751139304,0.6155022364273885,0.989916295462333,0.1793478750609746,0.006527781286807418,6.392617838010002e-05,2.5936488905232492e-06,-3.10060596286974e-11,-2.041223168286161e-07,-1.2408752966491884e-11,0.0060588465483954294,7.301375040693262e-06,2.518491875413337e-09,7.294399742659016e-10,6.048360656714424e-19,1.8204139349594054e-12,-7.820846361267368e-19,0.4623941,0.0003877,0.0033484,0.0356818,0.1030728,0.1361559,11.0,62.0,28.98145675715769,29.0,-0.018543242842309127,7.7366408885087745,11.0,6.0,0.37370838747406915,-0.3607938672333799,0.17788651785521273,1.8345843999436964,1.9087795258661324,1.8523357755620267,4.616722581342936,32.57405887441363,0.5544845786741962,0.714669885750884,605.0,0.014958215892795333,0.17642937742943365,0.014047802053423125,0.19636992794260777,0.07469094566359,0.9684152807656109,0.012170319864779677,3.1097952948910588,0.016885706907067366,0.9264462321539513,0.024013017099911438,5.1631778640584365,0.02560075857948263,12.242811251621628,0.14223377329185283,2.805622293650961,0.10608618835285188,2.958953836101759,0.15437149143058937,0.02267371672972166,0.0020485399746826595,0.6466713754172357,0.1499892231483949,-0.7049319356865892,0.06628923942583753,0.9799943553452992,0.006023027203327702,28.98145675715769,27.826140567200987,31.137090363042134,28.84976409237646,28.194232749742532,27.339925834363413,0.19411714754757048,0.21721457022067617,0.20125801849910535,0.1966849849498492
5,109.0,142.0,386.0,356.0,247.1395508599043,245.96408774340267,251.01807323633471,245.29773838346932,-1.2808922069149702,42214.0,42973.0,282.26558788944016,192.78094692159885,805.7787873376899,0.8170238034572691,0.7304397386471475,231.83730101398731,0.7121360369783056,0.984478812505866,0.6829771505731995,0.9823377469573918,0.17298519981901678,0.0039611047927034255,0.00010357282674736519,3.178017393385934e-06,-3.3386881147122405e-11,-1.1608292941009373e-07,-4.700772932545667e-11,0.004261219368219393,2.35505581200859e-06,1.5087057431153155e-09,5.976139491994345e-11,1.3987227873528727e-20,-9.09456781734466e-15,1.124124107743139e-20,0.0026691,0.0062659,0.0091566,0.0085575,0.1853213,0.3023667,19.0,91.0,42.33602596295068,42.0,0.33602596295067855,9.478724773485652,13.0,7.0,0.4777803219046445,0.3428405636092613,0.20900179045845968,1.6901122106641489,2.651241689899027,2.9103752035965575,5.454730124488995,40.07486206062065,0.48598875927519786,0.7645930521491782,770.0,0.01824039418202492,0.15410241031165023,0.012437345966602759,0.35754216196952293,0.1453717093364572,0.9721007079737533,0.011462215455685154,6.4098086266964245,0.028968108135197568,0.898481374100602,0.02873652290739037,7.281449020803867,0.03156518320848534,25.281692344816165,0.26124414187722067,3.0836324225361196,0.08892202245931635,3.2931766196605428,0.15988594976064263,0.020412427598954966,0.0020975608409415057,0.7884134864124619,0.15545315238947754,-0.6661054518464746,0.06268424504773751,0.9814154029189357,0.005742963966106296,42.33602596295068,44.52507064467372,45.88122832247695,41.774890233772396,33.2942456001582,27.69917257683215,0.23049132206888845,0.23751169444707654,0.21625456265091247,0.17235311644777226
6,177.0,160.0,323.0,342.0,258.27124107759613,247.77453373244302,256.5920420035037,243.12045000801004,0.10730902283440726,21715.0,21961.0,187.00751443302246,153.6520339997967,575.2619766708755,0.8245905611618568,0.5700130852135796,166.27807045405615,0.8172136083094987,1.0185528003375384,0.8216356142994876,0.9887983243021721,0.16860683285370648,0.0010695864705818252,0.0005436464742018658,1.2268972090043138e-05,-7.075421065996589e-10,-2.8101920629849874e-07,-7.095077669479918e-10,0.00636557758202068,1.3936623375632368e-06,3.1906843711605695e-08,2.1362332475629472e-09,1.4458996046763504e-17,1.1003455503905317e-12,-1.0098870340670423e-17,0.51567,0.0003273,0.0021303,0.0052834,0.1197866,0.1282644,12.0,62.0,26.733732443011743,26.0,0.7337324430117427,5.875672676636269,7.0,4.0,0.8970787883990704,1.4458594906784032,0.2513153309130076,1.5619729203027946,2.281529901356632,2.4926551256423446,4.7595905995224195,30.795768258189504,0.5356593401525379,0.7493218837865131,418.0,0.01924936679714483,0.21036371334209572,0.01912468705500936,0.3358954608364546,0.13473750180487676,0.9193317908834915,0.03356367171013508,2.084744604221295,0.03338333156129014,0.8993949435982127,0.029107632647721093,5.323094870698641,0.03287640511571244,8.003082956048726,0.2682708280500279,2.616366362445148,0.0936665659985314,2.8410582114907807,0.16098818215121913,0.020555810283865692,0.002147458805495127,0.8023351061603238,0.1624432259492633,-0.5812435796227609,0.08242710425539068,0.9500211011732345,0.017008741838093977,26.733732443011743,27.08893985728848,27.50140056022409,26.51398843930636,24.52375478927203,25.88991888760139,0.2059713448761421,0.20910749882457166,0.20159968923276483,0.18646690427791068
7,137.0,101.0,358.0,393.0,243.17249515972895,246.13211923201033,244.8838785258393,247.4825842178984,-0.24305507973145526,49584.0,50063.0,295.32021574399226,214.81407999646785,855.6366517139589,0.8510844658933701,0.686220320628151,251.26143672706385,0.7683629827062542,0.9787417994352089,0.7273937527618708,0.9904320556099315,0.16809746943546183,0.0026798095015657204,5.6579466514659004e-05,1.889230378786641e-06,1.8043275866241665e-11,8.217770905602608e-08,7.480437529835964e-12,0.006655775184388087,4.283113290531724e-06,4.052935150781254e-09,2.5529505257803774e-10,-2.02800774539612e-20,-4.855524745818215e-13,-2.588928396083428e-19,0.4594153,0.0006809,0.0071573,0.0351847,0.1516358,0.0913976,13.0,53.0,26.046728783478542,26.0,0.04672878347854237,5.160717116623092,7.0,4.0,0.44085537864494806,0.01618478279732205,0.21213426329845864,1.6693622255324332,1.7806417893367725,1.8868480986554212,5.788833060392166,46.582828323044176,0.4058171686424165,0.8121813997460485,537.0,0.010830106485963213,0.2118998542842121,0.015586389522755595,0.22650220630972143,0.07845817676599298,0.9481615736800433,0.018304363923317135,2.1857089734669977,0.015165825635341967,0.9188642159075873,0.021671389709681743,4.863717505392515,0.01969719052716723,8.516333687558262,0.1391214793073665,2.49863831134021,0.08106306306605537,2.6656628421698807,0.12749860259539947,0.02200818049597938,0.0017729354066293515,0.6848342539304542,0.12792531168877064,-0.6419532865903668,0.06505129209827165,0.9589262807767426,0.010750454880706473,26.046728783478542,27.286743757331994,26.353679653679652,26.502828854314004,22.861349486791184,19.974268415741676,0.22188156160556105,0.21429437120139838,0.21550717467268393,0.18589656463412668
8,147.0,140.0,356.0,363.0,254.52578498343544,246.483831246885,251.701705218431,247.4506247680086,0.7997610856571645,34109.0,34691.0,234.43437651518823,186.5274585883976,712.967604155647,0.8432168130705258,0.6057580337083702,208.3960835317489,0.7318428562233141,1.0485832482536548,0.7956489204402712,0.9832233144043123,0.16445800540090483,0.0013655385709452402,3.401964552231555e-05,2.0931877174366622e-07,-9.895404935888117e-14,6.429241907964904e-11,-5.49734387847896e-13,0.005212669459757209,1.439030375088568e-06,9.358157641910145e-10,3.859247058191158e-11,7.329156553228075e-21,-2.708235894218843e-14,2.7025522555787157e-22,0.3019885,0.0025101,0.0052612,0.0112703,0.0343844,0.3025786,16.0,77.0,31.4356328241813,31.0,0.435632824181301,6.050143581169445,8.0,4.0,0.9431416002589155,2.0185512329173694,0.2922794645643001,1.4192420764829918,2.4074827963944014,2.529037108455473,5.070950012534578,36.701063058509924,0.42094237868428325,0.8111962891708941,642.0,0.018822011785745697,0.21027851752562354,0.017819695647272815,0.3024832675093768,0.11885931706559505,0.9544791678769249,0.018162126610790863,3.3240211300810056,0.020328131498378532,0.9087457244529666,0.02789507765564314,5.59199080559123,0.025449477750633775,12.993601252814644,0.20017184305911329,2.5709992714912735,0.0866996577778103,2.766556540487447,0.15180769541582073,0.021242519956167855,0.002172864558934732,0.7470019625049876,0.158027287979139,-0.6261616661555638,0.07430874069246274,0.9593957284456067,0.012615759827042439,31.4356328241813,31.13190658312312,32.391808588444256,29.795177179826496,31.907266943968683,34.23512123438648,0.1952317608368582,0.2031327509777601,0.1868489772617116,0.2000941346888035
9,103.0,134.0,408.0,371.0,252.37755742437554,262.1836862773225,258.9176479076302,262.2639696144454,1.233973288682991,55769.0,58368.0,311.42752222821036,240.40829915780438,976.541197284454,0.734888721252846,0.635676142467046,266.47194255743943,0.7715155288095732,0.9954026829348932,0.771955854889524,0.9554721765350878,0.1734647069890428,0.0019290608675935658,0.0005820722385081,2.4682219778783658e-05,2.84667367091528e-09,7.631041264984972e-07,8.055413462137398e-10,0.005891684862655627,1.863920806751723e-06,2.300229095869171e-08,1.7452973105659373e-10,-6.209351344819801e-20,-2.1767854926447673e-13,-3.4413824394425093e-19,0.4350186,0.001136,0.0052101,0.0287088,0.0731922,0.1832846,11.0,60.0,29.32657928239703,29.0,0.3265792823970308,6.475887260337229,8.0,4.0,0.5424886923709914,0.4278964523893918,0.2193749970839723,1.6848731417128389,1.830874620045198,2.0449946440967923,5.924157725354464,48.15006066009889,0.33914928317058696,0.8561873016124735,630.0,0.01129659846868332,0.19780090057473063,0.015347419999399897,0.2415272807146884,0.10061021295839367,0.9564399768150817,0.01842444926226583,2.773946629063353,0.019039670763127958,0.9235700051357847,0.022884969042913594,5.486883508562402,0.021207661317276916,10.85425923553873,0.1767688960108984,2.651193368568679,0.0920759189059388,2.819821197628188,0.14475224145752819,0.02244773696895743,0.001922738459278435,0.6644917015633628,0.14191032712442264,-0.6729247691201949,0.06783661507636374,0.9710320379218019,0.008399634592266891,29.32657928239703,30.13476271017809,28.57426630783032,29.527486324096493,29.307105459985042,26.353258426966292,0.209419153991584,0.1985746074614,0.20519893469749542,0.20366741528378635
